name	type	others	A	V	S	L
SYNPO_tv1	promoter_candidate	promoter_candidate107	0	0	1	0
SYNPO_tv2	promoter_candidate	promoter_candidate108	0	0	1	0
PFKM	promoter_candidate	promoter_candidate109	0	0	1	0
COL6A2	promoter_candidate	promoter_candidate110	1	0	0	0
MFGE8	promoter_candidate	promoter_candidate111	0	1	0	0
TECRL	promoter_candidate	promoter_candidate113	0	1	0	0
DBNDD2	promoter_candidate	promoter_candidate114	0	1	0	0
TRIM63	promoter_candidate	promoter_candidate115	0	0	1	0
BGN	promoter_candidate	promoter_candidate116	1	0	0	0
IFITM2	promoter_candidate	promoter_candidate117	0	0	0	1
PAM	promoter_candidate	promoter_candidate118	1	0	0	0
FABP4	promoter_candidate	promoter_candidate119	0	1	0	0
NKX2-5_tv1	promoter_candidate	promoter_candidate120	1	0	0	0
NKX2-5_tv2	promoter_candidate	promoter_candidate121	1	0	0	0
SMYD1	promoter_candidate	promoter_candidate122	0	0	1	0
SMYD1_ATG	promoter_candidate	promoter_candidate123	0	0	1	0
RAMP1	promoter_candidate	promoter_candidate124	0	1	0	0
RPL3L	promoter_candidate	promoter_candidate125	0	0	1	0
ATP1B1	promoter_candidate	promoter_candidate126	0	0	1	0
RCAN2	promoter_candidate	promoter_candidate127	0	1	0	0
RRAD	promoter_candidate	promoter_candidate130	0	0	1	0
PEBP4	promoter_candidate	promoter_candidate131	0	0	1	0
ATP1A3	promoter_candidate	promoter_candidate132	0	1	0	0
VIM	promoter_candidate	promoter_candidate133	1	0	0	0
ALDOC	promoter_candidate	promoter_candidate134	1	0	0	0
SORBS1	promoter_candidate	promoter_candidate135	0	1	0	0
PALLD	promoter_candidate	promoter_candidate136	1	0	0	0
IFITM1	promoter_candidate	promoter_candidate137	1	0	0	0
CAV1	promoter_candidate	promoter_candidate138	1	0	0	0
CAV1_ATG	promoter_candidate	promoter_candidate139	1	0	0	0
G0S2	promoter_candidate	promoter_candidate140	0	0	0	1
S100A11	promoter_candidate	promoter_candidate141	1	0	0	0
RYR2	promoter_candidate	promoter_candidate142	0	1	0	0
C1R	promoter_candidate	promoter_candidate143	0	0	0	1
SERPING1	promoter_candidate	promoter_candidate144	0	0	0	1
MYH7B	promoter_candidate	promoter_candidate145	0	1	0	0
VWF	promoter_candidate	promoter_candidate146	1	0	0	0
IGFBP5	promoter_candidate	promoter_candidate147	0	0	1	0
MYOM3	promoter_candidate	promoter_candidate148	0	0	1	0
C7	promoter_candidate	promoter_candidate149	1	0	0	0
LIMS2	promoter_candidate	promoter_candidate150	1	0	0	0
AGT	promoter_candidate	promoter_candidate151	0	0	0	1
DIRAS1	promoter_candidate	promoter_candidate152	0	1	0	0
JUP	promoter_candidate	promoter_candidate153	1	0	0	0
H19	promoter_candidate	promoter_candidate154	0	0	1	0
PLIN4	promoter_candidate	promoter_candidate155	0	0	1	0
KCNIP2	promoter_candidate	promoter_candidate156	1	0	0	0
DCN	promoter_candidate	promoter_candidate157	1	0	0	0
FITM1	promoter_candidate	promoter_candidate158	0	0	1	0
TINAGL1	promoter_candidate	promoter_candidate159	0	1	0	0
HLA-DRB1	promoter_candidate	promoter_candidate160	1	0	0	0
GJA1	promoter_candidate	promoter_candidate161	0	1	0	0
GMPR	promoter_candidate	promoter_candidate162	0	0	1	0
PPP1R12B	promoter_candidate	promoter_candidate163	0	1	0	0
CDH2	promoter_candidate	promoter_candidate164	0	1	0	0
SORBS2	promoter_candidate	promoter_candidate165	0	1	0	0
PKP2_ATG	promoter_candidate	promoter_candidate167	0	1	0	0
KANK2	promoter_candidate	promoter_candidate168	1	0	0	0
TIMP1	promoter_candidate	promoter_candidate169	1	0	0	0
NPY6R	promoter_candidate	promoter_candidate172	0	1	0	0
PERM1	promoter_candidate	promoter_candidate173	0	0	1	0
PERM1_ATG	promoter_candidate	promoter_candidate174	0	0	1	0
CCDC69	promoter_candidate	promoter_candidate177	1	0	0	0
SGCG	promoter_candidate	promoter_candidate178	0	0	1	0
