A_1_ratio_scaled	A_2_ratio_scaled	A_3_ratio_scaled	A_4_ratio_scaled	A_5_ratio_scaled	A_6_ratio_scaled	S_1_ratio_scaled	S_2_ratio_scaled	S_3_ratio_scaled	S_4_ratio_scaled	S_5_ratio_scaled	L_1_ratio_scaled	L_2_ratio_scaled	L_3_ratio_scaled	L_4_ratio_scaled	L_5_ratio_scaled	V_1_ratio_scaled	V_2_ratio_scaled	V_3_ratio_scaled	V_4_ratio_scaled	V_5_ratio_scaled	K_1_ratio_scaled	K_2_ratio_scaled	K_3_ratio_scaled	K_4_ratio_scaled	K_5_ratio_scaled	LA_1_ratio_scaled	LA_2_ratio_scaled	LA_3_ratio_scaled	LA_4_ratio_scaled	LA_5_ratio_scaled	LB_1_ratio_scaled	LB_2_ratio_scaled	LB_3_ratio_scaled	LB_4_ratio_scaled	LB_5_ratio_scaled	mean_log_A_ratio	mean_log_S_ratio	mean_log_L_ratio	mean_log_V_ratio	mean_log_K_ratio	mean_log_LA_ratio	mean_log_LB_ratio	A_rank_value	S_rank_value	L_rank_value	V_rank_value	K_rank_value	LA_rank_value	LB_rank_value	group	group2	A	S	L	V	A_DESeq2_Active	V_DESeq2_Active	L_DESeq2_Active	S_DESeq2_Active	K_DESeq2_Active	LA_DESeq2_Active	LB_DESeq2_Active
APOH_ATG:::AAG	-3.15358800370717	-2.12901993928887	-1.93580927537095	-0.564565753586387	-1.98112521129618	-0.684561267279191	-3.25550741071401	-2.43210069233479	-3.26497811101579	-3.74118217599165	-0.429086384002833	1.02813498635402	1.00593459847548	0.882718688706495	0.967929450989958	1.01380756454976	-1.06898565115245	-2.01367122562802	-3.38714131320032	-1.47991842008091	-0.99073155920711	-1.7957584110696	-1.76670500041649	-2.73202538575323	-0.510602792375693	-0.889520960150728	0.201794437201891	-0.689756479845793	0.483609038002039	0.247801370934599	-0.137106271135652	-0.332682370716349	0.364557979660475	-0.0834104728136238	-0.0191411836144462	-1.41288365509646	-1.74144490842146	-2.62457095481182	0.979705057815142	-1.78808963385376	-1.53892250995315	0.0212684190314169	-0.296711940516081	1129	1427	318	1134	974	545	593	promoter_candidate	0_0_0_1	0	0	1	0	0	0	1	0	0	1	0
APOH_ATG:::CCT	-2.53989006507087	-1.80771078108469	-2.73839747199909	-1.7940770910904	-2.10938816405519	-3.38579806383556	-3.11103504324542	-3.66300628021217	-2.51090385090501	-3.14996654580813	-2.91619184396846	1.51676922124262	1.52547260581119	1.50873078521372	1.50358241046415	1.57063137615571	-4.18460457280771	-3.68611932431843	-3.58147594187688	-1.57867843225158	-4.04452281946735	-0.0758836483857335	-2.21570408921936	0.0175769824303221	-2.79817909741825	-1.8440557719224	-0.750305392347311	-0.801137306372994	1.18339006232096	0.154122504184177	-0.0874288327686332	-1.65384584733619	-1.55766446205219	0.24000959337064	0.30198368506428	-0.198435277404016	-2.39587693952264	-3.07022071282784	1.52503727977748	-3.41508021814439	-1.38324912490308	-0.0602717929967597	-0.573590461671495	1417	1507	179	1558	921	573	686	promoter_candidate	0_0_0_1	0	0	1	0	0	0	1	0	0	1	0
AQP1:::AAG	3.06506936904161	3.03396168802911	2.76316370462081	2.91959781289906	2.96499366379543	3.33851458537964	3.33819977532885	3.17345701781507	3.05068720173268	3.36882519868645	2.94413467745184	1.66174431878325	1.81285181168547	1.92313682891178	1.983001583729	1.96828817349653	3.74728797038065	3.5003948496071	3.63186279638291	3.35881149412618	3.62207688352044	1.35992778734457	2.19172601938466	2.0131270309848	1.86562729404305	1.01402953439011	2.2391291093527	2.05676386912522	2.00329900520465	2.13900026848366	1.98603044139321	2.0950234601357	2.08914948881375	3.05680925714148	1.5442454978589	2.39180493675544	3.01421680396094	3.17506077420298	1.86980454332121	3.57208679880346	1.68888753322944	2.08484453871189	2.23540652814106	21	70	120	29	70	39	38	promoter_candidate	0_1_0_0	0	0	0	1	1	1	1	1	1	1	1
AQP1:::CCT	2.92076561471914	2.56323376232657	2.66218134594665	2.6200629812277	2.99782996945559	2.46333138679798	2.38313707053424	2.92434754276818	3.42256390733158	3.27564690837755	3.1966760570296	1.26879339320652	1.33088650666109	1.3001996137519	1.5059965481812	1.46359984494364	3.34027697229104	3.25697745606968	2.693816746834	2.76144443200544	2.96412741671231	2.16149771250836	0.872595149687508	2.85243777695904	0.92212355657088	1.28918965724865	2.27880439478936	2.06717863933477	1.53254066940355	1.64274937211121	1.87717999015491	2.47482740234702	1.62907012297632	2.22129799852694	0.806522397616342	2.67543101046911	2.70456751007894	3.04047429720823	1.37389518134887	3.00332860478249	1.61956877059489	1.87969061315876	1.96142978638715	48	85	213	67	81	67	60	promoter_candidate	0_1_0_0	0	0	0	1	1	1	1	1	1	1	1
AQP3:::AAG	2.71409566466415	3.05564051687187	2.51824394225645	2.69180267192976	2.74915335024972	3.10987356080566	3.67574269995748	3.93739800469532	3.28563465693531	4.49905642160821	4.92214308466336	2.72535664253099	2.83435389479388	2.90633108247725	3.0726569513794	3.06699323881237	3.62373469694373	3.79507364181189	3.70559656220356	4.08930720848479	3.73586370208157	1.90901194624407	0.879513174186251	1.80223830957561	3.25574396021553	2.7881502881707	2.65981597829023	2.47385557692846	2.89791226101165	2.9976126276875	2.62983947292625	2.99621836999621	3.08982836806936	2.49739195551809	3.69902847232377	2.98159118869858	2.80646828446294	4.06399497357194	2.92113836199878	3.78991516230511	2.12693153567843	2.73180718336882	3.0528116709212	36	20	17	19	32	3	2	promoter_candidate	0_0_0_1	0	0	1	0	1	1	1	1	1	1	1
AQP3:::CCT	2.89253203618821	3.04190461533349	1.93878599581425	2.88725742075083	3.5031730405391	3.06729649837375	2.90414979066513	4.38935529085047	3.3562183020695	3.0122850223249	2.64185474287021	2.19469212142029	2.21272431621846	2.07593710294367	2.17820348505081	2.25429703284349	2.87481677537456	2.70104723644368	2.87807853867973	3.37260827322762	3.03436273777426	3.33083399529786	2.48219003016601	0.0439336593017168	1.34177908356014	2.21829460212585	2.31940611945232	1.10160555193038	2.32721755384912	2.78617695917115	1.85876055092342	2.3997568928213	2.56034021063451	2.26813037640185	2.65572232508104	1.42916489539059	2.88849160116661	3.26077262975604	2.18317081169534	2.97218271229997	1.88340627409031	2.07863334706528	2.26262294006586	29	62	79	71	48	40	34	promoter_candidate	0_0_0_1	0	0	1	0	1	1	1	1	1	1	1
AQP9:::AAG	-1.95482787080887	-1.51788267775616	-2.1911877814667	-1.37358408806554	-1.75994968263481	-1.90906854117726	-0.867743336251433	-1.80525852913597	-1.77571787497873	-1.17912168929256	-5.45324085071976	0.564458791559675	0.645856082228617	0.861814382053665	0.883673472188269	0.967147230963949	-2.51914143646255	-0.792133281212391	-2.14023443601955	-2.86772499792398	-3.10446409765097	-2.11201985590603	0.371768659554421	-5.72712302272804	-1.79275562817043	-3.33998006777225	-1.85993544107919	-3.16160852528577	0.277524130039768	-0.594551698306171	-1.07019517050254	-1.31725745764656	-2.94878877662547	-0.0828712292200839	-0.131973491301031	-1.8213756417403	-1.78441677365156	-2.21621645607569	0.784589991798835	-2.28473964985389	-2.52002198300446	-1.28175334102678	-1.26045331930669	1154	1293	376	1381	1314	1034	930	promoter_candidate	0_0_0_1	0	0	1	0	0	0	1	0	0	0	0
AQP9:::CCT	-2.4833631061305	-1.64923814225292	-3.17089948573112	-2.56699782396732	-2.15877197490359	-3.93649422567327	-3.9137294157359	-4.82003609271069	-4.05036957797891	-3.57689702882754	-3.87538597603637	0.929568922245531	0.949352140435776	1.04113448453107	1.15067256916757	1.12884125574313	-3.34951493715164	-4.06460581182161	-3.16412169329189	-3.68359936403643	-6.40411583884148	-3.84063001393246	-1.80975209473944	-7.20946959265885	-5.36925335794881	-7.19541206045257	-0.822725542042095	-2.5073725915814	0.809897885125261	-0.499220146916704	-0.268807233630835	-1.61726724780743	-1.14354982715619	0.605320508304189	-0.0139354277618214	-5.51788325664416	-2.66096079310979	-4.04728361825788	1.03991387442461	-4.13319152902861	-5.08490342394643	-0.657645525809155	-1.53746305021308	1495	1565	297	1567	1537	782	1038	promoter_candidate	0_0_0_1	0	0	1	0	0	0	1	0	0	0	0
ARG1:::AAG	0.642642456081184	-3.34689353405764	-0.579989886566079	-0.507230420839313	-0.65437776946665	-0.971491349753787	-4.42591439602928	-2.28184026457411	-3.43670253356902	-2.63109872190209	0.73623631206868	0.836257531656255	0.876414441445309	1.01214911161788	1.01307829838935	1.12599490025068	-0.577891392310921	0.133082624804175	-2.65223828568874	-1.41517879766267	-1.91451554146406	-0.0432588476283653	0.384653508071639	-4.0934428405024	-2.271090687069	-0.908049990864992	1.19858429852894	0.340816225381732	0.61115600619816	0.460127067458272	0.653658729566026	-3.37986112562774	1.46108361525272	-0.17046885449482	-0.436583202569694	1.11620021879662	-0.902890084100381	-2.40786392080116	0.972778856671895	-1.28534827846444	-1.38623777159862	0.652868465426626	-0.281925869728582	796	1367	322	922	922	323	590	promoter_candidate	0_0_0_1	0	0	1	0	0	0	1	0	0	1	0
ARG1:::CCT	-1.27028573699797	-3.72848815489466	-1.36446872027223	-1.48754264559172	-1.20246032813817	-0.689999364626052	-0.999410077873614	-3.46465570645707	-3.34290386244549	-2.83820368813781	-5.26939615107809	0.320062056897436	0.423036185417315	0.364415641647644	0.42305061992033	0.515182881741977	-0.316155848393636	-2.26098148939237	-2.85934325192446	-0.0998032009500516	-3.95933637775734	-1.40115840540869	-4.97243055445183	-4.30054780673812	-4.4129417111834	-6.23910041368715	0.059595827622311	-0.672870120192328	0.552430467891514	-0.144001353011913	0.872384115963468	-0.826734277416291	-1.7742426681812	-1.34556796962263	-6.06894265610118	1.42003473673221	-1.62387415842013	-3.18291389719841	0.40914947712494	-1.89912403368357	-4.26523577829384	0.13350778765461	-1.71909056691782	1070	1519	488	1196	1507	502	1110	promoter_candidate	0_0_0_1	0	0	1	0	0	0	1	0	0	1	0
ART3:::AAG	2.62981675780511	3.13372468428915	2.89984266776043	2.79438363046487	2.87244138451943	2.92486822325384	2.40749212392747	2.40509274766876	2.0407174709697	2.4148750954284	2.43325550976629	-1.70408821614083	-1.39678717592365	-1.33184881338444	-1.31278636533765	-1.31656121080849	3.34599010869378	2.70020524542432	2.72937297085494	2.91908657621525	2.97289657060444	-1.49981416675599	-1.79721119132889	-0.302451447351621	-0.785806264259467	-0.602302862533705	0.37470175574712	-0.0760615563362844	-1.16891417668081	-0.691862221974144	0.466138753885634	-1.71401023790756	0.222582372947445	-0.660993308544057	0.343320482767205	-0.65477637062275	2.87584622468214	2.34028658955212	-1.41241435631901	2.93351029435855	-0.997517186445934	-0.219199489071698	-0.492775412271942	31	155	1109	80	757	629	652	promoter_candidate	0_0_1_0	0	1	0	0	1	1	0	1	0	0	0
ART3:::CCT	2.52401709397345	2.82387965249976	2.95296981278129	2.97502718711785	3.1522343753367	2.61480399004504	2.16808665414718	2.22710422904644	2.05593869848294	2.33926789843172	1.98101357835781	-2.21021504065473	-2.06391643768765	-2.35264773454248	-2.20381096092658	-2.39858126814654	3.16607150445643	3.39096877184209	2.68365363571221	2.99618345184497	2.74130432098161	-0.646780653583486	-1.32166541593703	-7.43465490575605	-2.46292363728324	-5.78047540152137	-0.282456727645399	-0.871026982026111	-2.12784652430574	-0.910322250274627	-1.69152306745358	0.190971708444032	-0.0880271862591984	-5.36880145722396	0.695144153592493	-1.26035508788181	2.84048868529235	2.15428221169322	-2.2458342883916	2.99563633696746	-3.52930000281623	-1.17663511034109	-1.16621357386569	33	183	1397	68	1460	989	894	promoter_candidate	0_0_1_0	0	1	0	0	1	1	0	1	0	0	0
ASB2:::AAG	-0.498233721053452	-1.08329682633041	-0.906074376604775	-0.946317435057472	-0.744108861138089	-0.507331413596346	0.0131380944592164	0.546861877282316	1.09384156015781	0.66523523275098	0.368699285013976	-1.31380709716936	-1.06954535115306	-1.22859749942227	-1.13947502108528	-1.08091712962217	0.20757274430938	-0.136871646296201	-0.617077523716334	0.0307293978448737	0.0108944029785307	-1.05605410994364	-1.83176630698863	-3.16547703379032	-1.23536767871356	-1.34198395759499	-1.31715923459775	-1.1081148277182	-1.72859953034945	-2.13225334906951	-1.30487632889376	-2.34187953082982	-1.25203786497562	-1.3254153610936	-2.05557683534833	-1.05320891444304	-0.780893772296756	0.537555209932859	-1.16646841969043	-0.10095052497595	-1.72612981740623	-1.51820065412573	-1.60562370133808	753	499	1022	611	1046	1126	1062	promoter_candidate	0_0_1_0	0	1	0	0	0	1	0	1	0	0	0
ASB2:::CCT	-1.26657248493025	-1.24596453208916	-0.836619076476769	-0.922569348841159	-1.49811403714827	-0.962555033102278	0.670569538019764	0.127386057651817	0.483305140544404	-0.0702449757783887	0.0777012001266603	-2.06169640298339	-1.89556678800188	-1.97980511312283	-1.92303579310803	-1.98261860077098	-0.142801074211697	-0.191798676709156	-0.975185003005239	-0.589126302279609	-0.388633323084113	-2.88312065404251	-2.80324165946096	-0.269788293955727	-0.0989537476597492	-2.65812136753272	-1.79920381147703	-1.15502616090423	-1.54104176985459	-1.76118533361299	-1.09105329477496	-0.140434152450226	-1.32214618249603	-1.93169451803826	-0.79367046010786	-1.92897475930016	-1.12206575209798	0.257743392112851	-1.96854453959742	-0.457508875857963	-1.74264514453033	-1.46950207412476	-1.22338401447851	862	553	1315	692	1051	1105	916	promoter_candidate	0_0_1_0	0	1	0	0	0	1	0	1	0	0	0
ASGR1:::AAG	-1.93001427434195	-1.42557678199781	-1.80571130885872	-1.34313832587113	-1.10257914284797	-1.59717972145893	-0.897013606282505	-0.717021763076255	-1.71734832241411	-1.22642017728631	-1.23000004580372	0.880329817669217	0.93855619601127	0.957670717143284	0.864311943375001	1.10062880834982	-1.75924242735057	-1.31706276789314	-0.884597631489776	-1.50630966896942	-1.56173062520995	-1.92577941584567	-2.7535334138052	-1.37470069883879	-0.600129232748562	-1.29248535747577	-0.934525473660515	-0.765486524978515	0.517759941937926	0.0204118990273577	-0.401649746434692	-0.275723044238266	-1.58659862271917	-0.172307329426016	-1.03562331987525	-1.2167902903897	-1.53403325922942	-1.15756078297258	0.948299496509718	-1.40578862418257	-1.5893256237428	-0.312697980821688	-0.85740852132968	1034	886	330	969	996	659	771	promoter_candidate	0_0_0_1	0	0	1	0	0	0	1	0	0	0	0
ASGR1:::CCT	-2.05128560751808	-1.61567057946782	-2.43366703358522	-2.02320364005623	-2.26202872685526	-2.28584477416129	-2.26745782789771	-2.35155261152367	-1.72955914062348	-1.42882020496175	-1.50097638367252	1.60319638098903	1.65437157673829	1.62100799086755	1.57584701221976	1.80640337756876	-2.05682446445855	-3.0575199976477	-2.99307301372295	-2.5452350570616	-1.94484102536775	-2.11238912318874	-1.16913824988084	-2.52717569891401	-4.0402442773351	-3.09782846187616	-0.656119682458951	-0.833132198722586	1.1288764942374	-0.00669237559045866	0.247368950064806	-0.630650887547495	-0.735612832029701	0.214466315751699	-0.24422774546201	-0.580470908820393	-2.11195006027398	-1.85567323373583	1.65216526767668	-2.51949871165171	-2.58935516223897	-0.0239397624939583	-0.39529921162158	1300	1152	155	1464	1332	557	623	promoter_candidate	0_0_0_1	0	0	1	0	0	0	1	0	0	1	0
ASGR2:::AAG	-1.33320508118292	-1.61413603159599	-1.02205868341954	-0.836294434315649	-0.0225359669575514	-1.76209096803261	-2.03670818975991	-0.628574325369911	-1.37009274210572	-2.50067675812387	-2.52237649199831	-1.15532271801824	-0.962632009874553	-1.0821105075886	-1.10821715144202	-1.06130418008664	-1.71602119843339	-2.00551945677958	-1.76024379936636	-2.04777999215787	-1.12344139171108	-1.26593027648783	-0.0438688158528456	-1.23766993076754	-0.601488827766187	-2.58350837881795	-1.27595913907676	-1.86564092214982	-1.32063535470555	-0.852613945503673	-0.966360017793955	-1.43281074381284	-1.65549708949037	-1.32623034135712	-2.92566518883079	-1.06458825159807	-1.09838686091738	-1.81168570147154	-1.07391731340201	-1.73060116768966	-1.14649324593847	-1.25624187584595	-1.68095832301784	857	1135	980	1111	815	1019	1099	promoter_candidate	0_0_0_1	0	0	1	0	0	0	0	0	0	0	0
ASGR2:::CCT	-2.28464027518994	-1.98645167911542	-2.66463497786134	-2.02706614352391	-0.884183155158977	-1.59809384870939	-2.35534093524852	-3.44078880646317	-3.24444725802868	-2.76745732438476	-2.20585885514843	-0.216774726725449	-0.221493381733394	-0.226450475718351	-0.223807870653718	-0.173124905194348	-1.32582441741108	-2.63993797979117	-1.59153588092225	-2.73369677468577	-2.2651058612194	-2.3007897248857	-1.35139348684259	-3.89218784945241	-1.94426219510603	-2.80167735236186	-1.34194490852314	-2.26111901493852	-0.245451017199562	-1.0955907307127	-0.419607783692013	-3.03569247083175	-3.9081311614132	-1.95155426583612	-1.25457747086572	-1.89559957411232	-1.9075116799265	-2.80277863585471	-0.212330272005052	-2.11122018280593	-2.45806212172972	-1.07274269101319	-2.40911098861182	1201	1459	690	1298	1301	942	1362	promoter_candidate	0_0_0_1	0	0	1	0	0	0	1	0	0	0	0
ASPDH:::AAG	-0.847232535024831	-0.769592142765005	-1.21692608722599	-0.438888950083549	0.416554593180315	-1.13224416135874	0.221366804216493	0.658637403531054	0.327743884682804	-0.377382544518646	0.498219181811468	1.27070928669801	1.3037679064675	1.25985086156275	1.23356117592915	1.47419711000226	-1.3381871665346	-1.10883217275714	0.420139434314547	-0.906376251859403	-1.26794630319602	-1.80593961928106	-2.32715648526264	0.807733704071595	-0.154901531146047	-0.521678160888509	-0.928787863328388	-1.79311290820468	1.21580505524589	0.464809478710389	-0.989171710447493	-2.77882071199554	-0.229204678568971	-0.707996522142865	0.506296306960441	0.329019801580337	-0.664721547212965	0.265716945944634	1.30841726813193	-0.840240492006524	-0.800388418501332	-0.406091589604857	-0.57614116083332	715	547	229	779	686	693	687	promoter_candidate	0_0_0_1	0	0	1	0	0	0	1	1	0	0	0
ASPDH:::CCT	-0.994074704396726	-1.22488848316875	-1.36274571328614	-1.1793622492311	-1.77428642678634	-1.04462090263676	-0.86979647682922	-5.58036170750407	-2.3722308643188	-1.70630804619836	-2.20259382739919	2.30254384226947	2.26519005041181	2.20757413236258	2.13849373974324	2.32220468284284	-0.719122489168789	-2.07095696898014	-2.1870099017291	-2.29858470543486	-2.84098048792687	-0.604357510605339	-1.00950472382688	-7.41624955215924	0.0175315093317712	-0.475427036031609	0.164156042723103	0.928955084095065	1.71490670956518	0.995911668938768	0.642562334027471	-1.10043050511417	-0.250250070994295	-1.47181804245146	-0.421845261178944	0.554013143221328	-1.2633297465843	-2.54625818444993	2.24720128952599	-2.02333091064795	-1.89760146265826	0.889298367869917	-0.538066147303508	918	1410	73	1244	1120	266	668	promoter_candidate	0_0_0_1	0	0	1	0	0	0	1	0	0	1	0
ATF5:::AAG	2.55279433986189	2.81088994942729	2.44611116371249	2.38129882983938	2.37722348191019	3.02245419377393	3.09369397540741	3.41631895973898	2.91418666043687	3.64840036039998	4.24857855731667	2.08021936486445	2.3675849608712	2.32751798664484	2.47044664978486	2.47124843243261	3.39183886469642	2.92315207949741	3.0055334840982	2.92990191210793	3.53701201595387	2.48720159134565	1.86304571659933	1.79922448071365	1.95737204812741	2.03568661852341	2.31958167985922	2.30237624701194	2.28088908776327	2.2245416632533	2.17654328468954	2.45876570917722	1.96915465570619	2.3947686937458	2.5747538617135	2.45683541081488	2.59846199308753	3.46423570265998	2.34340347891959	3.15748767127077	2.02850609106189	2.26078639251545	2.37085566623152	54	48	60	59	39	28	22	promoter_candidate	0_0_0_1	0	0	1	0	1	1	1	1	1	1	1
ATF5:::CCT	2.29062451368561	2.17961974820879	2.1081094105902	1.63304950901923	2.09703125995775	2.4666626187101	2.52421274210599	2.00916929309905	2.19007108946067	2.86383471698053	2.65974720947974	1.45352160172735	1.45127917571823	1.42117953742517	1.44113784073545	1.5353004439201	2.51457328536537	2.51279219891997	2.66305845859319	2.69209825527062	2.6466348297115	1.68718798403703	0.817291592711105	1.32013512668413	1.82025250810796	0.667375745384333	2.23708466304158	1.53803055953311	1.45134015526748	1.45161208771546	2.02881657078818	2.54499754338531	1.72733633759028	2.18138082332158	1.32837305712839	1.81152269432191	2.12918284336195	2.4494070102252	1.46048371990526	2.60583140557213	1.26244859138491	1.74137680726916	1.91872209114949	105	144	192	119	129	87	66	promoter_candidate	0_0_0_1	0	0	1	0	1	1	1	1	1	1	1
ATP1A2:::AAG	3.04419265250372	2.95123599321947	2.90442129398036	3.27366966379941	3.44509505086539	3.10479230343712	2.4578924727138	2.5714100319438	2.2153589144359	2.2046328639692	2.45140784437515	1.3852944961601	1.3407291865534	1.35261202453271	1.39271311378397	1.37331525432736	3.00499543330948	3.02969821825977	2.58208035735201	2.77442549650963	2.4630868795063	1.70318592552781	1.28484571893829	1.17442491302264	1.69549427816964	1.64434145713875	1.21986872191927	1.84168309110745	1.12258707399841	1.35623515600982	1.86013596194567	1.76504881883797	1.53449224661575	1.67777923720145	0.829902789840006	1.85277554448856	3.12056782630091	2.38014042548757	1.36893281507151	2.77085727698744	1.50045845855943	1.48010200099612	1.53199972739675	19	149	214	98	96	136	124	promoter_candidate	0_0_1_0	0	1	0	0	1	1	1	1	1	1	1
ATP1A2:::CCT	2.44596109915225	2.58477672542575	2.19886653844825	2.48899135770705	2.50716166920564	2.52133998700087	1.9509568661016	1.57361251820412	1.55398463285218	1.09743407982015	1.88963473792663	0.59161794044752	0.522037229623989	0.419795875042074	0.442206701540645	0.491240673987767	2.40826146582732	2.56866749625198	2.12099923924817	2.11309745731114	2.54485882342544	1.78182515330666	1.77687865164112	1.25092937771864	0.226307191200994	0.442407287695131	1.17903359037707	1.21304389097432	0.761326555990152	0.591033427573746	1.28353642316524	1.53512004045587	1.36699342560464	1.99277292850581	1.32529398284098	1.32051632911707	2.4578495628233	1.61312456698093	0.493379684128399	2.35117689641281	1.09566953231251	1.00559477761611	1.50813934130488	71	270	457	150	163	232	133	promoter_candidate	0_0_1_0	0	1	0	0	1	1	1	1	1	1	1
ATP1A3:::AAG	-2.53913527332288	1.00405223557267	-0.223211603235075	-0.127689790961957	-1.99676543701279	-0.554737228965324	-2.58155167809528	-0.962448964119478	-2.4979748303461	0.0823256807172975	-2.50016936803949	-0.510452077838957	-0.78319071030376	-0.222991684101746	-0.599619570307372	-0.204495301020265	-1.36626242490768	0.487418263526483	-0.4404520398701	0.522544016697017	-1.71597284024812	3.07843602127698	1.35640142809009	-4.72666167920308	-2.88644544449304	-0.242118153704924	1.19620953234018	-0.419446354908192	-0.579617654186009	0.0597351592744179	-3.63830866513531	-2.06046982517311	-2.32797770156474	-4.32933193259598	1.30703662664326	-4.46237519524788	-0.739581182987558	-1.69196383197661	-0.46414986871442	-0.50254500496048	-0.684077565606795	-0.676285596522983	-2.37462360558769	744	1081	777	705	635	789	1351	promoter_candidate	0_1_0_0	0	0	0	1	0	0	0	0	0	0	0
ATP1A3:::CCT	-2.01630650670282	-2.2015598647086	-1.28562122120352	0.341982811572409	-0.948486376447437	-0.263132913352223	-0.287146790515734	0.635981558923104	-2.28658566379804	0.131840742947154	-2.31277338742012	-0.999339506111895	-1.0911979114703	-0.649376679338886	-0.839505140472703	-0.644131606606277	-0.67208321085813	0.268720279129849	0.432836320915196	-4.54131464922427	-2.18615090829103	0.190821494363303	-0.912850103921942	1.88982591932926	0.917653340394315	1.00655494867186	-1.43057538952375	-5.06111650749307	-1.65547019612608	0.497094574557742	-1.03722175910242	-0.0614026521265358	-2.79815576960765	-1.88558200878731	-3.38105683609685	-0.914198598417609	-1.06218734514036	-0.823736707972726	-0.844710168800012	-1.33959843366568	0.618401119767359	-1.73745785553752	-1.80807917300719	850	788	896	938	281	1197	1150	promoter_candidate	0_1_0_0	0	0	0	1	0	0	0	0	1	0	0
ATP1B1:::AAG	-1.48842138603648	-1.29866536376662	-1.18200796422287	-1.28108952381165	-1.9977413678659	-1.36686637166052	-1.97344497282408	-2.75319830745721	-1.61744745911907	-2.20628562641394	-0.821889041893011	-0.824327730390492	-0.799743501897363	-0.71625904919284	-0.708304186927468	-0.589197339039113	-2.37449708733418	-2.46786441111956	-1.80528080575139	-1.93853344329871	-1.73007348464588	-0.955496962462273	-2.68064874641507	-0.992263068043897	-4.72395939497006	-2.73203407597669	-2.30479474612527	-1.71529711142606	-0.859922737777307	-0.726420887649182	-1.22901619035956	-3.47516756680835	-1.17128263352003	-0.740377590177759	-1.61667892517839	-0.13298784452212	-1.43579866289401	-1.87445308154146	-0.727566361489455	-2.06324984642995	-2.4168804495736	-1.36709033466748	-1.42729891204133	990	1160	858	1266	1295	1071	995	promoter_candidate	0_0_1_0	0	1	0	0	0	0	0	0	0	0	0
ATP1B1:::CCT	-3.54450149685469	-1.95703314185179	-2.57850956895277	-2.4547752539684	-2.5493125861141	-3.32553127408536	-1.36546931614156	-0.74053598697449	-2.37798107563242	-2.01322927835638	-2.01011522369531	-1.67687272101397	-1.57575436508555	-1.6490057216708	-1.48468205889906	-1.4251996090321	-2.51003606553876	-2.94392701295035	-1.65895177065873	-1.04908223076252	-1.86974216925572	-1.62735775804295	-1.149957961013	-0.425556328194181	0.862890696017032	-3.76851131302812	-1.86059038478878	-0.742663624306872	-1.56765837271115	-1.39824546963982	-1.45970809375737	-1.67505191345248	-4.38556484263907	-1.72444159277263	-3.42385653077324	-3.83184797890538	-2.73494388697119	-1.70146617616003	-1.5623028951403	-2.00634784983322	-1.22169853285225	-1.4057731890408	-3.00815257170856	1512	1087	1154	1239	844	1082	1476	promoter_candidate	0_0_1_0	0	1	0	0	0	0	0	0	0	0	0
ATP2A1:::AAG	-0.632827061429588	0.014314562828297	-1.08630543023995	-0.492211657367906	-0.643834175130624	-0.944749576459314	0.1562325238768	1.7157527412917	1.32126843946374	2.26775561347693	2.16927907283289	-0.625123666558946	-0.610350194770827	-0.743405450819354	-0.75986739448534	-0.570266698625476	0.328938484284012	-0.360928509648657	-0.362489211830392	0.686604698717631	0.24783038682836	-0.605271153533463	-1.39781576281479	-1.3966248867406	-3.49502510019389	-0.32435187425388	-0.30466029544178	-1.04565787421696	-0.941384604501914	-0.525330243030972	-0.932570576906875	-1.44995456561634	-2.66286894178106	-0.413646850476887	-0.92917065555006	0.313551211729417	-0.630935556299847	1.52605767818841	-0.661802681051988	0.107991169670191	-1.44381775550732	-0.749920718819701	-1.02841796033899	701	289	837	570	938	811	844	promoter_candidate	0_0_1_0	0	1	0	0	0	1	0	1	0	0	0
ATP2A1:::CCT	-1.54982329043115	-1.50326682857927	-1.45050579605307	-1.05456810624955	-1.78196211488099	-1.44450974327718	1.05669105375792	0.860267629773578	0.775578302094656	0.378899680306154	1.33084863354957	-1.37140954860713	-1.41854337545746	-1.60616126856814	-1.65277985894243	-1.61087194155952	-0.389870971412393	-0.310663160717517	-0.104074287617658	-0.587839254036248	-0.500129890831605	-0.816704088930647	-2.01681064994143	-0.425627427378102	-0.680648918527433	-1.67925237785112	-1.08075973840107	0.150122963320462	-1.01612182160257	-1.21527877940295	-0.801153951633808	-2.35831075381776	-2.61504144752961	-0.66592932544301	-0.727466980646711	-1.75197565756652	-1.46410597991187	0.880457059896377	-1.53195319862694	-0.378515512923084	-1.12380869252575	-0.792638265543988	-1.62374483300072	1000	429	1143	670	807	830	1072	promoter_candidate	0_0_1_0	0	1	0	0	0	1	0	1	0	0	0
