A_1_ratio_scaled	A_2_ratio_scaled	A_3_ratio_scaled	A_4_ratio_scaled	A_5_ratio_scaled	A_6_ratio_scaled	S_1_ratio_scaled	S_2_ratio_scaled	S_3_ratio_scaled	S_4_ratio_scaled	S_5_ratio_scaled	L_1_ratio_scaled	L_2_ratio_scaled	L_3_ratio_scaled	L_4_ratio_scaled	L_5_ratio_scaled	V_1_ratio_scaled	V_2_ratio_scaled	V_3_ratio_scaled	V_4_ratio_scaled	V_5_ratio_scaled	K_1_ratio_scaled	K_2_ratio_scaled	K_3_ratio_scaled	K_4_ratio_scaled	K_5_ratio_scaled	LA_1_ratio_scaled	LA_2_ratio_scaled	LA_3_ratio_scaled	LA_4_ratio_scaled	LA_5_ratio_scaled	LB_1_ratio_scaled	LB_2_ratio_scaled	LB_3_ratio_scaled	LB_4_ratio_scaled	LB_5_ratio_scaled	mean_log_A_ratio	mean_log_S_ratio	mean_log_L_ratio	mean_log_V_ratio	mean_log_K_ratio	mean_log_LA_ratio	mean_log_LB_ratio	A_rank_value	S_rank_value	L_rank_value	V_rank_value	K_rank_value	LA_rank_value	LB_rank_value	group	group2	A	S	L	V	A_DESeq2_Active	V_DESeq2_Active	L_DESeq2_Active	S_DESeq2_Active	K_DESeq2_Active	LA_DESeq2_Active	LB_DESeq2_Active
ACACB_tv2:::CCT	0.11716888239599	-0.185233409585387	0.0939592192287115	-0.188520196010718	0.177492919133969	0.0892711374583893	-1.55581043053105	-2.76796722045393	-3.39225718692857	-1.48234350320857	-1.80072922058455	-2.83709070716472	-2.37474598680504	-2.59421908386169	-2.5819888613211	-2.51950541341747	-0.327204030630448	-0.492832109853621	-0.347072956969103	-0.301265426506276	-0.283960204038128	-5.66652394102769	-1.90339369576853	-2.33012220252297	-1.29840325587887	-3.98771439240218	-2.74171582137373	-1.94089237316889	-2.10239699460801	-2.78865301492061	-2.33565181053034	-1.90727082996863	-2.15186668044167	-1.82908943695508	-3.42589374266606	-3.2816255706611	0.0173564254368257	-2.19982151234133	-2.581510010514	-0.350466945599515	-3.03723149752005	-2.38186200292032	-2.51914925213851	535	1287	1483	665	1407	1446	1395	promoter_candidate	0_0_1_0	0	1	0	0	1	1	0	0	0	0	0
ACMSD:::AAG	-2.96216275926401	-0.858839548544655	-1.29234115376117	-1.15306659977807	-0.792447647646094	-1.26254920356603	-2.83267649385073	-2.71606668433597	-1.08515176215499	-0.960571205203944	-2.38913371964858	0.161500517952791	0.221713595309806	0.0354665245089085	0.0662370624176089	0.0987351432617672	-2.60652184246523	-3.09416587711061	-3.0894837591852	-0.238391307142145	-0.411872942347658	-0.587819146345617	-2.02537140863721	-0.383461470404963	-7.30049556085497	-3.82749840339631	-1.52942873963978	-1.22152826999359	-0.692670372952778	-0.649672665059592	-1.94725815496641	-3.09478311371094	0.3931330944708	-0.114409832865706	-1.10079743311859	-7.11140691456298	-1.38690115209334	-1.99671997303884	0.116730568690176	-1.88808714565017	-2.82492919792782	-1.20811164052243	-2.20565283995748	965	1211	585	1188	1367	1000	1302	promoter_candidate	0_0_0_1	0	0	1	0	0	0	1	0	0	0	0
ACMSD:::CCT	-2.13894059143828	-1.79667974765639	-1.71793463154024	-1.13925479726812	-2.84841934807259	-2.76281778038272	-4.3993155372128	-4.11389708309857	-4.32521005112789	-3.23632318603512	-1.98280916836743	0.563447480189432	0.48078485814611	0.530565403793706	0.590517050203064	0.647885557725533	-2.32376671568731	-2.17928728134801	-2.330763708076	-2.67556175800818	-2.33814710304837	-0.288887624891258	-1.84609549736523	-1.30091458794529	-0.360553855830476	-2.52487454714963	-0.685969865595683	-3.34321354487805	0.282978869805891	-0.520770070442328	-1.02083443379453	-1.15125004943533	-1.54701572175587	-2.8852760828392	-4.33847765893879	-1.33541530110801	-2.06734114939306	-3.61151100516836	0.562640070011569	-2.36950531323357	-1.26426522263638	-1.05756180898094	-2.25148696281544	1283	1553	437	1409	865	935	1318	promoter_candidate	0_0_0_1	0	0	1	0	0	0	1	0	0	0	0
ACSM2A:::AAG	-1.49373521305747	-0.158874010271279	-1.09976455041052	-1.25668923946957	-0.689525258423474	-1.50777706325442	1.01154838754835	-1.31407700597042	-2.02100722870607	-0.30315417245209	-0.956047302017231	0.277164086896493	0.296222107795923	0.41534137158952	0.356856205373083	0.435583901864062	-1.03711429724781	-1.05830632509287	-0.770318334407044	-1.59529954628515	-1.10704861146542	0.102803471888299	-0.413950071333397	-1.95621255817948	-1.33497829677152	-0.337045102621264	-0.892898840718895	-1.49339383943476	0.0100680532533527	-0.364302371808551	-1.22248648332508	-1.51867813873763	-0.86805177660419	-0.654151837603924	-0.962357287283814	-0.586076974092296	-1.03439422248112	-0.716547464319491	0.356233534703816	-1.11361742289966	-0.787876511403471	-0.792602696406788	-0.91786320286437	844	762	504	860	680	829	796	promoter_candidate	0_0_0_1	0	0	1	0	0	0	1	0	0	0	0
ACSM2A:::CCT	-1.35618980720986	-1.12337341258922	-1.98276198952247	-1.867841590531	-1.83259626649791	-1.57026695793027	-1.07539970362598	-1.50689432246016	-1.88451755624196	-1.20415897912008	-1.00377966698707	1.04217528495415	0.901416864089829	0.975901736089458	0.957571099099819	1.04028871319187	-0.866537010845866	-2.11089013882391	-1.81266819592632	-0.115507639634762	-0.998339682182891	-1.54816175423613	-0.443453372924841	-0.549900179372846	-0.809497250775308	-0.46680773556707	-1.48502721705303	-0.588078507189335	0.703048553814271	-0.244647969951393	-0.353484072623329	-1.44690554494143	-0.729435433187242	-1.08187886932814	-0.900802812209115	-0.319436233485123	-1.62217167071345	-1.33495004568705	0.983470739485025	-1.18078853348275	-0.763564058575239	-0.393637842600563	-0.895691778630209	1068	951	316	879	670	688	784	promoter_candidate	0_0_0_1	0	0	1	0	0	0	1	0	0	0	0
ACSM2B:::AAG	-1.24734867866516	-1.94018525653524	-1.29027570092978	-1.40754896953641	-1.29701859521548	-1.70792167058517	-1.36658578458861	-0.132428621901255	-1.3839002445933	-1.2467970768735	-1.37020988620587	0.195729445527619	0.226720834120245	0.228304264202247	0.268291079439735	0.283486504573028	-0.57433672759204	-0.972234261411514	-0.697582828408546	-0.655374605386923	-1.12097499464709	-1.75569863084271	-1.36038116821744	-1.4524238429446	-3.32097729403654	-0.422620882277182	-1.7289713556027	-1.68030419223298	0.0261749250369963	-1.68459250383076	-0.510204889968975	-1.3921709463781	-2.21802834793457	-1.20522486426054	-1.08916490824033	-1.14808825675651	-1.48171647857787	-1.09998432283251	0.240506425572575	-0.804100683489223	-1.66242036366369	-1.11557960331969	-1.41053546471401	1003	870	531	763	1025	965	988	promoter_candidate	0_0_0_1	0	0	1	0	0	0	1	0	0	0	0
ACSM2B:::CCT	-1.99927046491371	-1.56069952572564	-1.82438899510786	-1.48349935499892	-1.57735408774272	-1.73559046483253	0.483439129120102	-2.18520402095413	-1.34644189031754	-1.48685585736241	-1.70619983375796	0.908962212186089	0.859542087520577	0.867551461898577	0.822991366801718	0.950639808290612	-0.651755387645106	-1.54436964520016	-1.82927336882668	-1.00942827578773	-1.57016614860346	-1.36464131174655	-0.953141420996136	-1.36498079098444	-2.64644995855189	-0.169229545049387	-2.82756820480045	-1.4284994330872	0.616388092808714	-0.478331207298411	-0.240222532790767	-2.96887321322332	-2.25304030542588	-0.483378406421694	-0.87654147727204	-2.34281671484519	-1.69680048222023	-1.24825249465439	0.881937387339515	-1.32099856521263	-1.29968860546568	-0.871646657033622	-1.78493002343762	1103	922	354	932	881	866	1135	promoter_candidate	0_0_0_1	0	0	1	0	0	0	1	0	0	0	0
ACSM5:::AAG	-0.878356635515616	-0.59850019632173	-0.503091581266728	-0.639596532130954	-0.779236399045084	-0.530117759586728	-0.620842799742822	-0.310147468408993	-0.789391569295202	-0.815339405706192	-0.881296816735048	-0.611977171894286	-0.571157321056408	-0.529696843845451	-0.549275428615701	-0.399127562513985	-0.603230198912148	-0.63408455726688	-0.856458904978547	-0.726857926285141	-0.684058869163663	-0.381805332202835	-0.574104161860879	-1.82444766536151	-0.343165096119782	0.234835558899309	-0.71838515377036	-0.690127059140223	-0.791423761417812	-0.726183949502272	-0.635389990441344	-0.945350370181294	-1.24412969709358	0.0782219252090301	-0.749219520971421	-0.770813380214514	-0.65481651731114	-0.683403611977652	-0.532246865585166	-0.700938091321276	-0.577737339329139	-0.712301982854402	-0.726258208650356	707	758	794	735	600	804	724	promoter_candidate	0_0_0_1	0	0	1	0	0	0	0	0	0	0	0
ACSM5:::CCT	-1.31805840506263	-1.14690710482565	-1.19829727843655	-1.12600313921496	-0.995328560326081	-1.2794860944285	-0.896282073270399	-1.03008682331433	-1.23538298041921	-1.32794797781931	-0.843927111949486	-0.659716291911673	-0.604463331449281	-0.686570605001913	-0.670983767730749	-0.569316840316482	-1.30039148724851	-0.757646565968362	-0.955917278025114	-1.37509544344504	-1.30617437812504	-0.94183609636033	-1.77137074248133	-1.41907309765152	-2.27909069041748	-1.49286285911759	-1.27861898063512	-1.10086060084212	-0.688495546520925	-1.02232645477554	-0.802844749948807	-0.855756022179135	-0.554955767803487	-0.77804450642579	-1.77573750539599	-1.80487842036139	-1.17734676371573	-1.06672539335455	-0.63821016728202	-1.13904503056241	-1.58084669720565	-0.978629266544503	-1.15387444443316	888	864	827	868	989	911	892	promoter_candidate	0_0_0_1	0	0	1	0	0	0	0	0	0	0	0
ACTA1:::AAG	2.5392690639224	2.51916236462288	2.22323542226877	2.84524711321031	2.51698106245107	2.22153644578741	4.39693905442313	4.4813562479821	4.74645552257106	4.95137311281531	4.66692397677947	0.0738184504463678	0.0365720269445792	0.204246218005896	0.212917233186028	0.236033474212223	3.96817765985331	3.87608110751831	3.54515747020803	3.47897915382238	3.916747220981	2.03380072419498	0.578990706531309	0.844178147615187	0.784873601005923	0.402559400739403	1.17775064687673	1.3482094669193	0.260980681093923	0.383256802225509	1.27595889642404	1.87429841787404	0.984493842463271	0.0583400646983626	1.43907442681887	1.73538549583366	2.47757191204381	4.64860958291421	0.152717480559019	3.75702852247661	0.928880516017361	0.889231298707899	1.21831844953764	66	6	571	21	206	267	190	promoter_candidate	0_0_1_0	0	1	0	0	1	1	1	1	1	1	1
