L_1	L_2	L_3	L_4	L_5	L2_1	L2_2,	L2_3	L2_4	L2_5
ALDOB_tv2:::AAG	-0.860726687114454	-0.683771380426946	-0.704037957674133	-0.672664684531634	-0.600613843827297	-0.797596038964161	-0.568857455967923	-0.624923164444344	-0.599656433778036	-0.472628489724795
ALDOB_tv2:::CCT	-2.04963817302202	-1.91248110709095	-1.973639238494	-1.80852014635704	-1.95644055090492	-1.55529003100259	-1.4049268847532	-1.40209308142615	-1.35109616789952	-1.56377209966834
ALDOC:::AAG	-0.169340955798356	-0.10989596369393	-0.17905255661374	-0.177006082097073	-0.207792027935866	-0.83237784673009	-0.85240407529005	-0.766570168034147	-0.983711434812326	-0.883537695514882
ALDOC:::CCT	-0.524209001023801	-0.586126111790852	-0.661262834694479	-0.609163802705102	-0.600594736811278	-0.781494069881062	-0.890733809084665	-0.804338058505897	-0.784437971257808	-0.901732925117664
AMBP:::AAG	-0.0636723987119092	-0.0362282768426521	-0.159433132368759	-0.154412315735182	0.0440091341035818	-0.174922835705455	-0.277846367014287	-0.56034879079031	-0.451909795533232	-0.364007597107071
AMBP:::CCT	0.156329551976355	0.253829626404781	-0.022823220585675	-0.0251724265768717	0.178489752063002	0.273717844332981	0.414356701592337	0.121738094266638	0.0544169201240411	0.222966113284939
AMDHD1:::AAG	-0.789732420695361	-0.724545445735543	-0.750945527115362	-0.937810317143385	-0.930401290973666	-1.46139754218884	-1.33452011443256	-1.42478541475135	-1.66346267355051	-1.76252342150289
AMDHD1:::CCT	-1.98199199270847	-2.15305462443931	-2.0513109252797	-2.17087393131766	-1.96286390501727	-2.39924673779772	-2.25430325095546	-2.37662232626353	-2.67094299757294	-2.71925163468273
AMPD1:::AAG	-1.55967268546028	-1.27181504806948	-1.05189895362364	-1.26332464079605	-1.31085459401375	-1.27035771547737	-0.808339744345758	-0.851638276885717	-1.28442918268352	-1.34520075006046
AMPD1:::CCT	-1.41193746584352	-1.3613484397315	-1.88552246866217	-2.12795834554509	-2.07293432139512	-0.889201226592524	-0.678539059023776	-1.0650021022946	-1.53087106896551	-1.57508511721555
ANG:::AAG	-0.131065809288254	-0.102704281584554	-0.275265763103078	-0.112976700258856	-0.0806435246578393	0.00467042592741633	0.0771920936921286	-0.214252768392518	-0.00798177923192869	-0.24826861666725
ANG:::CCT	0.333807834173873	0.316095036262564	0.132974433816155	0.0643684687221813	0.170407427134144	0.779956841541161	0.418105672655685	0.551246373233514	0.439100303151192	0.351233634719758
ANGPTL3:::AAG	1.21986666382109	1.09897887446692	1.20628425554307	1.23979728358173	1.31644973284999	1.20183593376887	1.27356257708019	1.36162946433861	1.16305986449438	1.41780926765121
ANGPTL3:::CCT	1.59633699523089	1.39362418326559	1.53549014893126	1.54419855369499	1.48787620372774	2.12572064117464	2.11494338821155	2.0119883392916	2.01154187142481	1.80882713142712
ANGPTL4:::AAG	2.73175504586175	2.85748823867167	3.02187144043835	3.15763911674439	3.07458019095752	2.19544534594368	2.25624938934487	2.41406288255912	2.78327353359648	2.42278343061764
ANGPTL4:::CCT	2.47521218992565	2.45706479944098	2.51952884377316	2.61942197115254	2.61005067268464	2.31638903519202	2.22060515459523	2.32578057061946	2.39062626748272	2.32928260597627
ANGPTL8_ATG:::AAG	2.66400847600507	2.65935656204794	2.68045295423202	2.79711419272938	2.73422923291496	2.17974354699505	2.14750282699608	2.15881623917087	2.18557922739328	2.1022947181834
ANGPTL8_ATG:::CCT	3.70915873168948	3.67777345238028	3.71202571196214	3.76671425472329	3.81034226739687	3.37403744841653	3.08446178247958	3.25131109192112	3.3581229279811	3.24734069561845
ANGPTL8:::AAG	2.25174346728195	2.25254105555604	2.28947380319764	2.40832699323486	2.37601969883249	1.89336134099012	1.74155758160193	1.78201986708983	1.96477795449336	1.81817162941126
ANGPTL8:::CCT	3.29059341320829	3.27687780535379	3.31900235955019	3.37967751486664	3.43008588601129	3.01111649996199	2.92164048982949	3.0242144479083	3.09463643898945	3.01434823953254
ANKRD1:::AAG	-1.41066941573673	-1.25642642940407	-1.34608557421372	-1.26661860290031	-1.19464625124484	-1.28317074823182	-1.11932995137232	-1.28903465807648	-1.28616530324559	-1.3670982156664
ANKRD1:::CCT	-2.43681023968964	-2.42354349318045	-2.4759244148408	-2.41454378593057	-2.38750834390968	-2.01275538494752	-2.08973116353158	-2.01242339025888	-2.04134640494662	-2.03356557230156
ANPEP:::AAG	0.127126360688224	0.00762393243843597	-0.0291645120127723	0.307276248100225	0.316339758981838	-0.630208635723341	-1.18225661327685	-0.748725694002155	-0.42758374490138	-0.763823134168254
ANPEP:::CCT	-0.650595012842064	-0.580754265772145	-0.751155795915376	-0.70112861340598	-0.465361671068615	-1.17086328315192	-0.402824490300113	-0.508258567544618	-0.846679292813397	-1.26378038058675
ANXA2:::AAG	0	0	0	0	0	1.15739073041704	0.676479594511063	1.1603849788854	0.952839125109273	1.19439192069985
AOX1:::AAG	-0.901181414207155	-0.679015124406466	-0.739562303491354	-0.682848228560146	-0.741380646123155	-1.09385878559689	-0.997927641052579	-1.04752484702372	-1.04326476300204	-1.15365045078682
AOX1:::CCT	-1.08506396155578	-1.01680946776107	-1.17246496990044	-1.12305035064169	-0.981274547888844	-0.984789264622424	-0.916628225626447	-1.12614729814973	-1.03946044062284	-0.900088402856718
APCS:::AAG	1.95399023927328	2.05473822322365	2.11011092672402	2.14764300352914	2.15513362114189	1.87485455410301	1.97495417467154	2.01252164458407	2.00228556319671	1.9686533325981
APCS:::CCT	2.32521447180488	2.31128039138798	2.33038193332149	2.30262895213935	2.38646838060872	2.5139058972865	2.3017237378437	2.51195688318387	2.46902863903445	2.45477169221264
APOA1:::AAG	2.04221734425155	2.16265394301285	2.24873839162287	2.2540274774623	2.40628009904237	1.82918952344911	1.76413956090716	1.88587326116202	1.92563405925051	2.07013374088656
APOA1:::CCT	2.28327376811755	2.40376312395877	2.33435267754223	2.21611928604414	2.57462247650712	2.32176791106289	2.4451135945806	2.39817300629206	2.23804303973088	2.46669953464117
APOA2:::AAG	1.33192391478663	1.46954083670294	1.56045241226882	1.58774198182768	1.66174056047281	1.33108777371389	1.32788288544412	1.44711478850533	1.29465723377206	1.47661132352936
APOA2:::CCT	0.730573396351369	0.780288860114109	0.763736225994183	0.748099712202989	0.924041130503582	0.962113134774803	1.02130966431928	1.03768467846611	1.03126872174353	1.11923843740036
APOA5_ATG:::AAG	-1.66922524087115	-1.65546239057098	-1.68986866704613	-1.67281512768708	-1.64891309852667	-1.70049963117704	-1.70311841730706	-1.74964166122452	-1.83647172881286	-1.79309403090972
APOA5_ATG:::CCT	-2.35202080524591	-2.5278943056789	-2.50510131851537	-2.42416120568131	-2.52818991270329	-2.01548841819384	-2.21584651076869	-2.18057082653276	-2.11057627565805	-2.29117492789375
APOA5:::AAG	-2.20482502189835	-2.08329872460302	-2.07097340516285	-2.03702778012864	-2.04448286981216	-2.16255909413138	-2.13085621049426	-2.13345453118745	-2.12816600915698	-2.18424823294412
APOA5:::CCT	-2.86371121859636	-2.93234885520541	-2.9682494213861	-2.90951955144313	-3.01409882527998	-2.51958206645015	-2.62402037494004	-2.57352179358827	-2.56950161031544	-2.70621021608585
APOB:::AAG	2.82879712371215	2.83216416664309	2.87478262674471	2.92339601712619	2.93487849125298	2.28152667395033	2.0357841942692	2.18292794254162	2.2313498179031	2.12770358937806
APOB:::CCT	4.24361847706516	4.22208861356152	4.18193578245428	4.21419448722223	4.300096220128	3.61069727811511	3.41832503430406	3.51948119632013	3.55905785665608	3.47473679455072
APOBEC2:::AAG	-1.13165036184547	-1.03910464163527	-1.12302169675782	-1.09410066799446	-0.959602421845163	-1.26038780215631	-1.20202316176324	-1.20979535072132	-1.18720848285083	-1.09915088838713
APOBEC2:::CCT	-1.73157239391598	-1.71112517102938	-1.81393958041203	-1.71207823438386	-1.73359857758763	-1.43996825980504	-1.42879464779168	-1.50962852812485	-1.40601588506364	-1.44886976696968
APOC1:::AAG	-2.96854360933957	-3.11047358907145	-3.14865477012727	-3.17660374780793	-3.11379458031044	-2.71560265973587	-2.91690999779912	-3.06533333627899	-3.12171742375633	-3.0830215934709
APOC1:::CCT	-3.52478661490363	-3.66045643125625	-3.78629010246219	-3.84332969574234	-3.91645639618056	-3.0377863479044	-3.17761688627687	-3.28143179722569	-3.3683433914061	-3.43279960301709
APOC1P1:::AAG	-0.317153150354062	-0.205206519389643	-0.18277311257015	-0.280959731500768	0.00531346266259756	-0.517008404162339	-0.529345588210455	-0.527457178106441	-0.70615950390391	-0.320474900936408
APOC1P1:::CCT	-0.925249921776221	-0.975161190136396	-0.916494656031943	-0.92429106257968	-0.878641200477558	-0.804514386413016	-0.896995853589557	-0.693574611996367	-0.911274290006726	-0.833621324613304
APOC3:::AAG	1.29136502823052	1.39217225377297	1.49810631876936	1.54500972117529	1.52279173425845	1.13613360643667	1.07281023284958	1.24442097511761	1.26643502648445	1.18632957812391
APOC3:::CCT	1.62026337856784	1.6292165701576	1.54058109015735	1.64179398308716	1.66457811929792	1.71132434046531	1.7095331149457	1.61355641747808	1.67656046326521	1.66162640519504
APOC4:::AAG	0.366658946670638	0.390283420588362	0.423805319768654	0.428662228187065	0.495250013417484	0.0173351546397364	-0.0404791249102001	0.114566739030977	-0.0289792200875332	-0.0272515440113218
APOC4:::CCT	-0.0691301076944179	-0.090373725645996	-0.122960077398759	-0.121221802244202	-0.0439576566438859	-0.0349457304672885	-0.131707180986762	-0.0577947134908338	-0.123013712285121	-0.0643297510596517
APOD:::AAG	0.424554419551142	0.440125840208066	0.556433902122883	0.598056290164041	0.624043992660421	0.663813195425368	0.485621561466879	0.517809252173652	0.577357116681816	0.532514499810932
APOD:::CCT	-0.240344505310306	-0.302671399262505	-0.3472136321086	-0.313099315017427	-0.265980021353982	0.165163588097854	0.179841443852416	0.0787100352028644	0.104666067288693	0.103729491859632
APOE:::AAG	1.66962484248267	1.78838962872793	1.82576286357301	1.89064215821919	1.85956843802083	1.1249030859007	1.21600695332951	1.30391328787425	1.21781183169534	1.21010274638926
APOE:::CCT	1.51351765029199	1.56370816356781	1.53233185840087	1.57067071544379	1.59743669449678	1.39806181050732	1.47012853144056	1.37616873566591	1.45220366991022	1.42018933649527
APOF:::AAG	-1.57995205841189	-1.68367280774502	-1.55237493697782	-1.56856007158411	-1.72257035317187	-1.33491425545284	-1.44448556924781	-1.55243838081264	-1.49384501104755	-1.64281104489488
APOF:::CCT	-1.7530774093959	-2.12239492662637	-2.17347410037512	-2.09619927096266	-2.03204707163248	-1.2070545699769	-1.44945035531315	-1.9059409074008	-1.62605547961554	-1.41500088832671
APOH_ATG:::AAG	0.880077692701463	0.878016149770946	0.742674105325882	0.842643002316015	0.869334348219394	1.09368887231698	1.07787500609215	0.891207003750473	0.919585323522333	0.854641446483176
APOH_ATG:::CCT	1.36870441903149	1.39754655743211	1.36867851425733	1.37828835409319	1.42615044607308	1.66342901512766	1.89032218718477	1.64882058847045	1.85344345860432	1.82412681881677
APOH:::AAG	0.582600287104234	0.469377706821111	0.505483062812	0.521589173379103	0.611112001939195	1.02890857901632	0.696770308671976	0.923552148366816	0.719359355340064	0.803721096855086
APOH:::CCT	0.987659134067602	0.967803664472927	1.01549774229526	1.01560413391673	1.06240051006272	1.42510401751706	1.545895986906	1.43675980691354	1.58359770084822	1.53129601437599
AQP1:::AAG	1.51367849950882	1.68492469985414	1.78308341238585	1.85770634262835	1.82380614875646	1.16994673209753	1.19133336622845	1.48444429546227	1.24818970231105	1.3600418574377
AQP1:::CCT	1.12072067488906	1.20295257431383	1.1601394672635	1.38069444430603	1.31911103314222	1.12362436414631	1.22268245043545	1.22706513580752	1.33197851571452	1.08600228842927
AQP3:::AAG	2.57729277225561	2.70642878204485	2.76627965614597	2.94736358516772	2.92251315593364	1.87655342051212	1.95827616220416	2.18046716190455	2.2084626220244	2.0423920058744
AQP3:::CCT	2.04662043068752	2.08479152103086	1.93587824718768	2.05290268711943	2.10980953731034	1.4318354632567	1.4996406810156	1.31157467073371	1.62740599484672	1.67739491680828
AQP9:::AAG	0.41640273049513	0.517938825016056	0.721770634234555	0.758387908382731	0.822674896203946	0.586777628147817	0.681665916364506	0.759599812288206	0.852092202452542	0.686158352162886
