A_1_ratio_scaled	A_2_ratio_scaled	A_3_ratio_scaled	A_4_ratio_scaled	A_5_ratio_scaled	A_6_ratio_scaled	S_1_ratio_scaled	S_2_ratio_scaled	S_3_ratio_scaled	S_4_ratio_scaled	S_5_ratio_scaled	L_1_ratio_scaled	L_2_ratio_scaled	L_3_ratio_scaled	L_4_ratio_scaled	L_5_ratio_scaled	V_1_ratio_scaled	V_2_ratio_scaled	V_3_ratio_scaled	V_4_ratio_scaled	V_5_ratio_scaled	mean_log_A_ratio	mean_log_S_ratio	mean_log_L_ratio	mean_log_V_ratio	A_rank_value	S_rank_value	L_rank_value	V_rank_value	group	group2	A	S	L	V	A_DESeq2_Active	V_DESeq2_Active	L_DESeq2_Active	S_DESeq2_Active
ACACB_tv2:::AAG	-0.548456664572915	-0.326408887844582	-0.0818423662072351	0.000187850114589134	-0.266843113754964	-0.319473068998686	-1.49505550457287	-2.63461769502956	-1.5161557543742	-2.20343064312475	-2.90850678517219	-1.81475425812906	-2.02956805684726	-1.88061208799473	-1.7366862989706	-1.84279719788322	-0.452151552621843	-1.21803851169514	-1.0446535264518	-0.417825151610655	-0.552856764338973	-0.257139375210632	-2.15155327645472	-1.86088357996498	-0.737105101343682	550	1206	1222	713	promoter_candidate	0_0_1_0	0	1	0	0	1	0	0	0
ACACB_tv2:::CCT	-0.0628249788828656	-0.349611806631123	-0.0220016869894095	-0.414457050554761	-0.0169034385734862	-0.0188401789912832	-1.72107146393195	-2.91354800467539	-3.52065700822955	-1.6978419480051	-1.98437115648836	-2.98514870646366	-2.50266651885863	-2.73426502524483	-2.7072766832425	-2.6639793026899	-0.54556302395499	-0.66382664712275	-0.446779782075899	-0.499366082799028	-0.442964864554034	-0.147439856770488	-2.36749791626607	-2.7186672472999	-0.51970008010134	535	1288	1484	666	promoter_candidate	0_0_1_0	0	1	0	0	1	1	0	0
ACMSD:::AAG	-3.14214369493285	-1.02321497614678	-1.40829829093219	-1.37900047767943	-0.986840703656374	-1.37065859168177	-2.99790582790524	-2.86163683636289	-1.21355640198436	-1.17606959800771	-2.57277220087739	0.0134364109665138	0.093788406675329	-0.104584536618459	-0.0590558729402313	-0.0457442219369612	-2.82486306179359	-3.26512686059827	-3.18918284496889	-0.436490762527949	-0.570877615912946	-1.55169278917157	-2.16438817302752	-0.0204319627707618	-2.05730822916033	966	1212	586	1189	promoter_candidate	0_0_0_1	0	0	1	0	0	0	1	0
ACMSD:::CCT	-2.31893775119567	-1.96106015243369	-1.8338990263197	-1.36519714777943	-3.04280847064401	-2.87092993264326	-4.56451770732355	-4.25946114765408	-4.45359619195464	-3.4518201960337	-2.16645750874289	0.415375720030248	0.352852041648773	0.390506290671813	0.465216084647099	0.503397840897573	-2.54212438671239	-2.35027949429861	-2.43047544589216	-2.8736560177777	-2.49715416446396	-2.23213874683596	-3.77917055034177	0.425469595579101	-2.53873790182896	1284	1554	437	1410	promoter_candidate	0_0_0_1	0	0	1	0	0	0	1	0
ACSM2A:::AAG	-1.67373552241418	-0.323259870941711	-1.21573209045422	-1.48263276495329	-0.883928446679031	-1.61589486439418	0.846275827965949	-1.45966950764424	-2.14941994157077	-0.518660845844726	-1.1396971834582	0.129092756485591	0.16828952709368	0.275282517161405	0.231555585160748	0.291096398164086	-1.25548022254346	-1.22930795522424	-0.870032242231363	-1.7934062863155	-1.26606017150276	-1.19919725997277	-0.884234330110399	0.219063356813102	-1.28285737556347	845	763	504	861	promoter_candidate	0_0_0_1	0	0	1	0	0	0	1	0
ACSM2A:::CCT	-1.53618472904036	-1.28775304172861	-2.09872305607801	-2.09377894502894	-2.02699252252646	-1.67837921959848	-1.24066498255248	-1.65248113069603	-2.0129249648423	-1.4196597357612	-1.18742403163094	0.894109245760253	0.773489588593978	0.83584821649151	0.832275797982927	0.895806503660409	-1.08489761076501	-2.28188429066017	-1.91237616249295	-0.313610495223133	-1.15734581440906	-1.78696858566681	-1.50263096909659	0.846305870497815	-1.35002287471006	1069	952	316	880	promoter_candidate	0_0_0_1	0	0	1	0	0	0	1	0
ACSM2B:::AAG	-1.42734912147121	-2.10456894789886	-1.40624298076443	-1.63349224357466	-1.49142099564443	-1.81603922737119	-1.53185572683524	-0.278021934744472	-1.51231357806262	-1.46230325721331	-1.55385957873329	0.0476581396868798	0.0987882835818888	0.0882454820900398	0.142990491288703	0.138999078665915	-0.792702996570303	-1.1432358543075	-0.797296779647839	-0.853482458012211	-1.27998650282469	-1.64651891945413	-1.26767081511779	0.103336295062685	-0.973340918272509	1004	871	531	764	promoter_candidate	0_0_0_1	0	0	1	0	0	0	1	0
ACSM2B:::CCT	-2.17925500482702	-1.72506868738543	-1.9403403885706	-1.70942740224467	-1.77174078682534	-1.84369289934861	0.318181856490541	-2.33077971941659	-1.47484017205639	-1.70234678100704	-1.88983429149557	0.76090560361913	0.731624241990503	0.727507385731049	0.697705518999173	0.806167053748512	-0.870106521628384	-1.71535494247934	-1.92897175662315	-1.20752055784634	-1.7291621790112	-1.86158752820028	-1.41592382149701	0.744781960817673	-1.49022319151768	1104	923	354	933	promoter_candidate	0_0_0_1	0	0	1	0	0	0	1	0
ACSM5:::AAG	-1.05835743265277	-0.762886026475721	-0.619059622523266	-0.865540653855611	-0.973639875009678	-0.638236080986859	-0.786114784399643	-0.455740779453074	-0.917805548660701	-1.03084592852545	-1.0649466798541	-0.760048255183298	-0.699089668915879	-0.669755433562501	-0.674575798651184	-0.543614849190526	-0.821596766225602	-0.805087093686621	-0.956172715093807	-0.924966212449611	-0.843070718716904	-0.819619948583984	-0.851090744178595	-0.669416801100678	-0.870178701234509	708	759	795	736	promoter_candidate	0_0_0_1	0	0	1	0	0	0	0	0
ACSM5:::CCT	-1.49805358206781	-1.31128722251802	-1.31425960326126	-1.35194161002559	-1.18972645813143	-1.38759874103719	-1.06154842194542	-1.17567442136308	-1.36379132568133	-1.54344886619481	-1.02757147491558	-0.80778186726942	-0.732390177397796	-0.826623650761651	-0.796278605827303	-0.713798576053971	-1.51875225987396	-0.92864356468038	-1.05562556637317	-1.57319789547349	-1.4651805589766	-1.34214453617355	-1.23440690202004	-0.775374575462028	-1.30827996907552	889	865	828	869	promoter_candidate	0_0_0_1	0	0	1	0	0	0	0	0
ACTA1:::AAG	2.35926487538728	2.35477332892959	2.10726428171235	2.61929958912466	2.32257432856661	2.11341490410027	4.2316631021074	4.33575927285105	4.61803777306005	4.73586285533826	4.48327045934694	-0.0742527727465975	-0.0913598966961186	0.064187524996172	0.0876167076130088	0.0915466507658202	3.74980738199526	3.7050748106657	3.4454400981063	3.28086720414405	3.75773173990913	2.31276521797013	4.48091869254074	0.015547642786457	3.58778424696409	66	6	572	21	promoter_candidate	0_0_1_0	0	1	0	0	1	1	1	1
ACTA1:::CCT	2.57442812340955	2.29023842846248	1.66979465454137	1.45546140385999	1.95790964221605	2.11131540063254	3.03423412348139	4.86429432116679	3.97987377240176	3.8331031215876	4.52206432477621	-0.808974225653159	-0.677418998731632	-0.765127596400953	-0.767629157316332	-0.66221229223836	3.38198739249627	2.91341470473958	3.15105692612686	3.16953608257657	3.37361410290746	2.009857942187	4.04671393268275	-0.736272454068087	3.19792184176935	98	17	814	42	promoter_candidate	0_0_1_0	0	1	0	0	1	1	0	1
ACTA2:::AAG	0.808332478699653	0.263392883808371	0.215826997521565	0.0286249502324348	0.132890013381179	0.148445738249983	1.28799072868739	2.08184890307793	1.63765544283156	1.69008438134954	1.8745309880655	-0.938863068687383	-0.811489926522186	-0.840341285416313	-0.811312075054348	-0.676300680510592	0.621560747064649	0.746795102805504	0.363764442072994	0.586437713279108	1.3604487313058	0.266252176982198	1.71442208880238	-0.815661407238164	0.735801347305611	426	228	844	396	promoter_candidate	1_0_0_0	1	0	0	0	1	1	0	1
ACTA2:::CCT	0.443164109248816	0.0286930646462912	-0.109835364048179	-0.268050830376436	-0.176226400317336	0.0441760882190895	0.89331465345523	1.66154987981607	1.32777455286326	1.02308255336357	1.38695151558198	-1.62599399262572	-1.57836992043677	-1.62831897266217	-1.6182002546144	-1.50066044088706	0.146820593514318	0.589174532502703	-0.139441109609296	0.55845159482174	0.687198522798524	-0.00634655543795911	1.25853463101602	-1.59030871624522	0.368440826805598	505	309	1120	475	promoter_candidate	1_0_0_0	1	0	0	0	1	1	0	1
ACTC1:::AAG	1.05595424698043	-0.0317105481828739	0.260600979287958	0.42802834319038	0.214376545686621	0.72724030673199	2.36502023346076	2.4648332304026	2.56890402350589	3.3756059934206	2.64196238602127	-1.09512188671518	-0.870047853711309	-0.984451497295787	-0.9024798672337	-0.924911601393156	1.45188926173632	1.29356774979844	0.335056874262579	0.958171998237172	1.45309454128589	0.442414978949083	2.68326517336222	-0.955402541269826	1.09835608506408	388	101	887	321	promoter_candidate	1_0_0_0	1	0	0	0	1	1	0	1
ACTC1:::CCT	0.847181375394429	0.340071757991439	-0.165694500302584	0.224621524563444	0.25750757935138	0.614639329480749	2.80171686811497	2.95705614373091	2.44565579241174	2.36645471463416	2.61449456864771	-1.77401344592483	-1.68174356355215	-1.80018006830139	-1.86923704583074	-1.79913136942927	0.546792183229909	1.11452343184798	0.716110442957421	0.417465151918411	0.981261750331621	0.353054511079809	2.6370756175079	-1.78486109860767	0.755230592057069	406	106	1186	391	promoter_candidate	1_0_0_0	1	0	0	0	1	1	0	1
ACTN1:::AAG	-1.94909287705179	-0.92907104194723	0.176779204684368	-1.28528587382071	-0.481626174228098	-1.25260386218958	-0.981279080469975	0.588853071988376	0.0980300325933356	-1.17316020246556	-0.303344877545569	-1.02128475351143	-0.97834425622334	-0.792071355731891	-0.78380085469155	-0.808331602614011	-2.70574571195144	-1.30427659329518	-2.40172703651287	-1.73344991953536	-2.13597210140194	-0.953483437425506	-0.354180211179879	-0.876766564554444	-2.05623427253936	760	643	862	1186	promoter_candidate	1_0_0_0	1	0	0	0	0	0	0	0
ACTN1:::CCT	-1.6808330824715	-1.49853999571255	-1.16611026791321	-0.865098471249975	-2.3177103202756	-1.76021998038614	-2.04847654832906	0.0793899291643877	0.457306385312832	-0.0344487845485607	-1.92375573057649	-2.22093824363392	-1.8945206241863	-1.80469825379885	-1.82545694317322	-1.89689971093606	-0.820606420775466	-2.37521575613859	-2.54016637466799	-1.34049893948606	-0.866271832097664	-1.5480853530015	-0.693996949795378	-1.92850275514567	-1.58855186463315	965	718	1244	976	promoter_candidate	1_0_0_0	1	0	0	0	0	0	0	0
ACTN3:::AAG	-0.0333350070720169	-0.369473097145346	-0.599443696939076	0.484308140477273	0.184152911154122	0.129402577663383	1.1336855889063	1.17936070644107	0.535988353935175	0.792718942505786	1.01908024994731	-0.485793424007348	-0.42491446561284	-0.349345403814223	-0.37723323440974	-0.282976261488664	1.23029143456383	0.639178949969208	-0.021424190832416	0.833055768317431	0.908590359209802	-0.0340646953102769	0.932166768347127	-0.384052557866563	0.717938464245571	512	386	712	398	promoter_candidate	0_0_1_0	0	1	0	0	1	1	1	1
ACTN3:::CCT	-0.266640189035817	-0.23725783131018	-0.441953670379307	-0.55747191702047	-0.0759232134131608	-0.1366878307484	0.590632799243542	0.781809300865575	0.789402803803121	0.545913611886746	0.553710166854193	-1.14184585420276	-1.10832153233145	-1.11782921024447	-1.19225307051655	-0.998962730723324	0.434992833668885	0.238041763610451	0.22455877478091	0.282238842188333	0.911539999961305	-0.285989108651222	0.652293736530635	-1.11184247960371	0.418274442841977	557	438	954	464	promoter_candidate	0_0_1_0	0	1	0	0	1	1	0	1
ADAMTS1:::AAG	3.27509478375666	2.97210338910548	3.06715151031613	2.67121047216173	2.60290626471353	3.10453749680432	3.73248754220424	3.03673877486615	3.48707767800667	3.90812339950286	3.27591031392663	1.9888179888047	2.10238240176144	2.15896392072548	2.2940912799891	2.2386898364992	2.96008494346916	3.26053883385941	3.36925056843026	3.13322076824516	3.16776675915429	2.94883398614297	3.48806754170131	2.15658908555599	3.17817237463166	20	37	64	44	promoter_candidate	1_0_0_0	1	0	0	0	1	1	1	1
ADAMTS1:::CCT	2.82903352747172	2.81648368758782	2.2289285853999	2.62977137756183	2.40209270594471	2.92467905618378	2.55806820483646	3.27966353537719	3.14177336025743	2.87930205009039	3.51957928110465	2.7996167239527	2.80059001250991	2.72608145816778	2.75766942344941	2.83741763842712	2.81859263156407	2.67117417801816	2.65872781277194	2.77666207190741	2.7014373605597	2.63849815669163	3.07567728633322	2.78427505130138	2.72531881096426	40	64	16	86	promoter_candidate	1_0_0_0	1	0	0	0	1	1	1	1
ADH1A:::AAG	-1.88204651163093	-3.50732560055966	-2.13792146943384	-3.26416129538641	-1.71996136336772	-2.01028610313387	-2.776426602253	0.400348648188998	-2.25986167878637	0.292481629210951	-2.97517525589617	-0.468742185910835	-0.0759148809813257	-0.34049883744506	-0.19746075436743	-0.0787612690343906	-2.21697138155454	-2.07799117618459	-1.84720738286015	-2.75112767359616	-3.00419331598901	-2.42028372391874	-1.46372665190712	-0.232275585547808	-2.37949818603689	1366	938	661	1343	promoter_candidate	0_0_0_1	0	0	1	0	0	0	1	0
ADH1A:::CCT	-2.3200949583742	-2.99972489967387	-3.97369194425827	-2.59882794049403	-1.94299605407624	-0.988312355701461	-1.44342825503155	-3.77191321144778	-2.19461123107275	-4.4474612295457	-1.39952322786219	-0.277325865908532	-0.201116390865682	0.0107780440483653	-0.0689248643844133	0.120540811690818	-3.08415270428597	-2.65223447849205	-2.26103625482177	-1.43531198344977	-1.67785717066362	-2.47060802542968	-2.65138743099199	-0.0832096530838886	-2.22211851834264	1383	1387	606	1261	promoter_candidate	0_0_0_1	0	0	1	0	0	0	1	0
ADH1B:::AAG	-1.71526879141998	-1.10822928265002	-2.28733247859	-1.03452227509173	-0.869239264680887	-1.39369053523082	0.920129765708771	-1.07151905334046	-2.88565715299319	-0.342041194215905	-0.597092149936116	-0.491865541080672	-0.409807561526249	-0.397624163355889	-0.295627217419935	-0.38565086670795	-1.49821824234579	-3.05905226988683	-1.0372100700042	-1.06604820774515	-2.46399993538987	-1.40138043794391	-0.79523595695538	-0.396115070018139	-1.82490574507437	909	745	715	1071	promoter_candidate	1_0_0_0	1	0	0	0	0	0	1	0
ADH1B:::CCT	-2.26659054046962	-2.22331247956408	-1.64870860114597	-2.44220092599359	-1.25686594715075	-0.888469587271238	-1.47429465175267	0.938342975469227	-2.5004208828892	-1.8453070832217	-1.99865438824422	-0.370163312760413	-0.265274009108274	-0.416822711289184	-0.347285189956342	-0.139527180147786	-1.40471784523884	-2.91880850703462	-0.515529384699549	-1.73845686160239	-2.57787391164784	-1.78769134693254	-1.37606680612771	-0.3078144806524	-1.83107730204465	1070	905	675	1078	promoter_candidate	1_0_0_0	1	0	0	0	0	0	1	0
ADH1C:::AAG	-2.11467173663272	-2.62523223494859	-2.1303055797374	-0.523227238415797	-1.93790336627001	-0.569922347266391	-0.647619192834428	-3.62493122266227	-1.8557945870545	-0.579428907318573	-1.78644861372747	-0.195397119424077	-0.281049117458242	-0.386862614586256	-0.155661110160385	-0.221479559290541	-3.10436764168257	-0.829519234865684	-1.79594552090035	-0.85886451479127	-1.95251950029125	-1.65021041721182	-1.69884450471945	-0.2480899041839	-1.70824328250623	1006	1019	664	1021	promoter_candidate	0_0_0_1	0	0	1	0	0	0	1	0
ADH1C:::CCT	-3.6215937729169	-2.5151295933566	-2.11281063850217	-2.39739683274295	-2.49767397103848	-1.61761903279747	-3.34167822013441	-1.72168663388629	-3.10425767773991	-1.94274060130996	-3.21695740238185	-0.433719083116632	-0.459680431481325	-0.560164919287591	-0.459988262795133	-0.465111637356231	-4.37824660781655	-2.15980864846397	-2.77934302932857	-1.81819881207133	-2.09093645123575	-2.46037064022576	-2.66546410709048	-0.475732866807382	-2.64530670978323	1379	1393	742	1451	promoter_candidate	0_0_0_1	0	0	1	0	0	0	0	0
ADH4:::AAG	1.04080169669417	-0.400138283618519	-3.65656363187106	-1.31602543570842	-4.21238274095468	-2.3887755606675	-2.4519794708147	-2.18809043327711	-2.85020679244027	-3.65951773370451	-3.63179874920904	-1.93537124624796	-1.5484392036874	-1.50985755217234	-1.05854561087589	-1.45199105560365	-2.06037346202789	-3.77353447912053	-2.35827740060166	-1.59371963726339	-2.29714088045755	-1.82218065935434	-2.95631863588913	-1.50084093371745	-2.4166091718942	1082	1456	1099	1360	promoter_candidate	0_0_0_1	0	0	1	0	0	0	0	0
ADH4:::CCT	-3.15151628994376	-4.03126426992307	-3.76843628899869	-1.70897499262397	-3.9122454647931	-1.4639483381511	-0.972222139568255	-2.39477978178027	-2.86900467317921	1.09223745610174	0.342290593167021	-1.97170695705194	-1.65364430543458	-1.64086531720211	-1.43042922874521	-1.68398017559	-0.407764225970928	-1.52878591082187	-2.54070702249139	-1.36639948708789	-1.66386347062696	-3.00606427407228	-0.960295709051795	-1.67612519680477	-1.50150402339981	1534	784	1146	937	promoter_candidate	0_0_0_1	0	0	1	0	0	0	0	0
ADH6:::AAG	-1.05245757824227	-1.41150761074541	-0.768771439880689	-2.18873899966471	-1.00128733957324	-0.971887487446159	-0.89311667838407	-0.380520931527185	-1.70519420325001	-1.94064901598661	-3.54172490715422	1.71983174959614	1.73734084876957	1.78201514326904	1.78075658450921	1.82780270633102	-1.12281191446903	-2.40991775487002	-1.87850600535393	-1.19907696700622	-0.523382966745081	-1.23244174259208	-1.69224114726042	1.769549406495	-1.42673912168886	853	1017	115	909	promoter_candidate	0_0_0_1	0	0	1	0	0	0	1	0
ADH6:::CCT	-1.3437090155653	-1.29143663295515	-1.64174549249253	-2.33995304563343	-0.937493990755915	-1.90685241971877	-1.59479003326008	0.722417513278267	-2.47137493395562	-3.95330010995849	-2.75465265391729	2.54472563794295	2.57197668725743	2.55468981066961	2.54431540486279	2.68525384224255	-2.91486277979822	-1.3831181794403	-1.73874086072994	-2.61259018731318	-1.21429513065762	-1.57686509952018	-2.01034004356264	2.58019227659507	-1.97272142758785	983	1147	22	1140	promoter_candidate	0_0_0_1	0	0	1	0	0	0	1	0
ADM:::AAG	3.08330191696683	2.96384406064059	2.31226405797132	2.82284163257691	2.29491747099731	2.81017904414015	4.52488348979455	4.25597940718729	4.62442443344256	4.07486949979765	4.2933255628971	2.53742891872672	2.66110560499291	2.77977994136494	2.90602484092595	2.84803188919355	3.65412681448869	3.66161224828161	3.49004239567784	3.62774374424678	3.79996200649426	2.71455803054885	4.35469647862383	2.74647423904082	3.64669744183784	30	7	18	16	promoter_candidate	1_0_0_0	1	0	0	0	1	1	1	1
ADM:::CCT	2.85470130058814	2.40341428940948	2.00491971889716	2.31365022967213	2.28196524672608	2.28316151037517	3.70263876214346	3.17795079449022	3.29954300091348	3.16633857170939	3.77088228739711	2.23883149374761	2.28188159523059	2.29479652992178	2.36869297081272	2.32492116656161	3.25177207632765	3.38969941417713	2.94208397724451	3.0527888824415	3.2801219921172	2.35696871594469	3.42347068333073	2.30182475125486	3.1832932684616	58	41	51	43	promoter_candidate	1_0_0_0	1	0	0	0	1	1	1	1
ADPRHL1:::AAG	1.93789814511692	1.74268082527981	2.10455377759859	2.31141746408508	2.03464659811406	1.94646200691212	2.78717174095048	2.691907763234	3.00822008632354	3.13084000628354	2.61244860941685	0.746656137861968	0.790160017526844	0.882790507841529	0.943691734308042	0.976694333853463	2.36700577584605	2.66978098346789	2.47502132878	2.38719079190939	2.3226337151608	2.01294313618443	2.84611764124168	0.867998546278369	2.44432651903283	97	87	312	116	promoter_candidate	0_0_1_0	0	1	0	0	1	1	1	1
ADPRHL1:::CCT	1.61331185610692	1.71476543243651	1.48270787828508	1.3393433482233	1.57782115316696	1.67958446468441	2.28648088730279	1.85844684338135	2.1923377487741	2.50165387837481	2.92887841717221	0.377886995851026	0.319141386635463	0.257955941317756	0.319752186375538	0.358305471823932	1.871436129607	2.64184211872262	2.15125837682009	2.26840074625686	2.21557848348175	1.56792235548386	2.35355955500105	0.326608396400743	2.22970317097766	162	134	465	146	promoter_candidate	0_0_1_0	0	1	0	0	1	1	1	1
AFM:::AAG	-1.17808818476359	-1.02894758811441	-1.23459286355091	-1.9470011577533	-3.01752659795737	-3.57662192502788	-2.12125454577609	-1.70535346051631	-1.0465117902129	-1.91669519559513	-0.43245273265617	-0.461211275899338	-0.390412070090767	-0.344266600607965	-0.352466931529909	-0.37271275772956	-4.88824131998737	-2.90843225555076	-0.708390591726494	-3.9320692920306	-1.80162606759748	-1.99712971952791	-1.44445354495132	-0.384213927171508	-2.84775190537854	1173	930	713	1507	promoter_candidate	0_0_0_1	0	0	1	0	0	0	1	0
AFM:::CCT	-2.2236653044436	-2.8154472569183	-1.87415292263551	-2.94785729685112	-2.31536983297992	-2.02374958419544	-2.23490325860538	-4.645771953892	-4.00928128893254	-3.54230971422058	-3.06772461971268	-0.190638300586239	-0.270743965053466	-0.0328064002514601	-0.0955446180704782	-0.159058483882364	-1.31136240647305	-0.928111968887411	-3.94464377241122	-2.68142196487753	-3.38959627953735	-2.36670703300398	-3.49999816707264	-0.149758353568801	-2.45102727843731	1345	1534	632	1380	promoter_candidate	0_0_0_1	0	0	1	0	0	0	1	0
AFM_ATG:::AAG	-1.09150106188951	-2.47316089792945	-1.66147769109531	-2.05955775747995	-2.76389428822213	-2.93181872397877	-2.52610088486376	-1.51586435110047	-2.50866592330315	-4.5853860082863	-4.77498650236006	-0.0719648246631929	-0.176293206242621	-0.00163738262363427	-0.0385977994112846	-0.0754092051587563	-2.0581084265984	-0.809732904086016	-1.37808637949942	-2.04304683267759	-0.957474999889248	-2.16356840343252	-3.18220073398275	-0.0727804836198979	-1.44928990855013	1251	1505	602	922	promoter_candidate	0_0_0_1	0	0	1	0	0	0	1	0
