A_1_L_ratio	A_2_L_ratio	A_3_L_ratio	A_4_L_ratio	A_5_L_ratio	A_6_L_ratio	S_1_L_ratio	S_2_L_ratio	S_3_L_ratio	S_4_L_ratio	S_5_L_ratio	L_1_L_ratio	L_2_L_ratio	L_3_L_ratio	L_4_L_ratio	L_5_L_ratio	V_1_L_ratio	V_2_L_ratio	V_3_L_ratio	V_4_L_ratio	V_5_L_ratio	Promoters	enhancer_type	group	raw_names	A	V	S	L	L_DESeq2_Active	A_DESeq2_Active	S_DESeq2_Active	V_DESeq2_Active	A_1_ratio	A_1_L_ratio	A_2_ratio	A_2_L_ratio	A_3_ratio	A_3_L_ratio	A_4_ratio	A_4_L_ratio	A_5_ratio	A_5_L_ratio	A_6_ratio	A_6_L_ratio	S_1_ratio	S_1_L_ratio	S_2_ratio	S_2_L_ratio	S_3_ratio	S_3_L_ratio	S_4_ratio	S_4_L_ratio	S_5_ratio	S_5_L_ratio	L_1_ratio	L_1_L_ratio	L_2_ratio	L_2_L_ratio	L_3_ratio	L_3_L_ratio	L_4_ratio	L_4_L_ratio	L_5_ratio	L_5_L_ratio	V_1_ratio	V_1_L_ratio	V_2_ratio	V_2_L_ratio	V_3_ratio	V_3_L_ratio	V_4_ratio	V_4_L_ratio	V_5_ratio	V_5_L_ratio
ACACB_tv2:::AAG	-0.336466034760446	-0.111203750866447	0.265908088107979	0.365359286453591	-0.0396064398219387	-0.151848730302432	-1.66988682313362	-2.96862984941795	-1.83376986054915	-2.5290589764419	-3.26185410298481	-1.64668564078441	-1.89065041967127	-1.73828845374787	-1.63456019497488	-1.78262545074754	-0.611837367827174	-1.42965009959626	-1.09359444158552	-0.428791461075888	-0.7525215647975	ACACB_tv2	AAG	promoter_candidate	promoter_candidate399	0	0	1	0	0	1	0	0	0.791978936105015	-0.336466034760446	0.925815261016868	-0.111203750866447	1.20239264386375	0.265908088107979	1.28820240142094	0.365359286453591	0.972920319137385	-0.0396064398219387	0.900096301891264	-0.151848730302432	0.31427799721473	-1.66988682313362	0.127747782234305	-2.96862984941795	0.280530616951013	-1.83376986054915	0.173251653145805	-2.5290589764419	0.104251922744414	-3.26185410298481	0.319373022706283	-1.64668564078441	0.269685447654859	-1.89065041967127	0.299725045160522	-1.73828845374787	0.322068574893997	-1.63456019497488	0.290653976018839	-1.78262545074754	0.654362796600284	-0.611837367827174	0.371220914868657	-1.42965009959626	0.468592431724735	-1.09359444158552	0.742883835066682	-0.428791461075888	0.593565207855527	-0.7525215647975
ACACB_tv2:::CCT	0.149165650929603	-0.134406669652989	0.325748767325805	-0.0492856142157591	0.210333235359539	0.148784159704971	-1.8959027824927	-3.24756015906377	-3.8382711144045	-2.02347028132225	-2.33771847430098	-2.81708008911901	-2.36374888168263	-2.59194139099797	-2.60515057924678	-2.60380755555421	-0.70524883916032	-0.875438235023874	-0.495720697209613	-0.510332392264261	-0.642629665012561	ACACB_tv2	CCT	promoter_candidate	promoter_candidate399	0	0	1	0	0	1	0	1	1.10892796392879	0.149165650929603	0.911044437480791	-0.134406669652989	1.25331474767717	0.325748767325805	0.966414754398268	-0.0492856142157591	1.15695538793047	0.210333235359539	1.10863476935408	0.148784159704971	0.268705399596907	-1.8959027824927	0.105289964534081	-3.24756015906377	0.0699141791548386	-3.8382711144045	0.245965813936287	-2.02347028132225	0.197822924447262	-2.33771847430098	0.141897385322434	-2.81708008911901	0.194285631989667	-2.36374888168263	0.165862380541345	-2.59194139099797	0.164350690260421	-2.60515057924678	0.164503757703854	-2.60380755555421	0.613336689864424	-0.70524883916032	0.545088264423533	-0.875438235023874	0.709207305624577	-0.495720697209613	0.702060666730433	-0.510332392264261	0.640544335149493	-0.642629665012561
ACMSD:::AAG	-2.93015306512038	-0.808009839168641	-1.06054783661698	-1.01382904134043	-0.759604029723349	-1.20303425298552	-3.17273714646599	-3.19564899075128	-1.53117050815931	-1.50169793132485	-2.92611951869001	0.181505028311168	0.232706043851325	0.0377390976284015	0.0430702310554847	0.0144275251987195	-2.98454887699892	-3.4767384484994	-3.2381237601026	-0.447457071993182	-0.770542416371473	ACMSD	AAG	promoter_candidate	promoter_candidate756	0	0	0	1	1	0	0	0	0.131200664762548	-2.93015306512038	0.571169228041422	-0.808009839168641	0.479449962882151	-1.06054783661698	0.495230117017234	-1.01382904134043	0.590658423935708	-0.759604029723349	0.434360779702739	-1.20303425298552	0.11089474090237	-3.17273714646599	0.109147501365457	-3.19564899075128	0.345996534217446	-1.53117050815931	0.353137532604242	-1.50169793132485	0.131567994262609	-2.92611951869001	1.13406633337144	0.181505028311168	1.17503688453236	0.232706043851325	1.02650389212702	0.0377390976284015	1.03030410807525	0.0430702310554847	1.01005056950232	0.0144275251987195	0.126345932329923	-2.98454887699892	0.0898250442712357	-3.4767384484994	0.10598090372692	-3.2381237601026	0.733334301649421	-0.447457071993182	0.58619703811217	-0.770542416371473
ACMSD:::CCT	-2.10694712138321	-1.74585501545556	-1.48614857200449	-1.00002571144043	-2.81557179671098	-2.703305593947	-4.7393490258843	-4.59347330204247	-4.77121029812959	-3.77744852935084	-2.51980482655551	0.583444337374902	0.491769678824769	0.532829924918674	0.567342188642815	0.563569588033253	-2.70181020191772	-2.56189108219973	-2.47941636102588	-2.88462232724294	-2.69681896492248	ACMSD	CCT	promoter_candidate	promoter_candidate756	0	0	0	1	1	0	0	0	0.232137721386692	-2.10694712138321	0.298157180070223	-1.74585501545556	0.356964232042832	-1.48614857200449	0.499991089173183	-1.00002571144043	0.142045812161762	-2.81557179671098	0.153540845845913	-2.703305593947	0.0374380985602237	-4.7393490258843	0.0414215886832415	-4.59347330204247	0.036620357915693	-4.77121029812959	0.0729247057772795	-3.77744852935084	0.174366545688567	-2.51980482655551	1.49842236426239	0.583444337374902	1.40616869212019	0.491769678824769	1.44676432102022	0.532829924918674	1.48179121809395	0.567342188642815	1.47792144412425	0.563569588033253	0.153700077552463	-2.70181020191772	0.169353407219092	-2.56189108219973	0.17931693358529	-2.47941636102588	0.135407323360559	-2.88462232724294	0.154232748747028	-2.69681896492248
ACSM2A:::AAG	-1.46174489260171	-0.108054733963577	-0.86798163613901	-1.11746132861429	-0.656691772746005	-1.44827052569793	0.671444509405201	-1.79368166203263	-2.46703404774572	-0.844289179161868	-1.49304450127082	0.297161373830245	0.307207164269675	0.417606151408266	0.333681689156464	0.351268145299767	-1.41516603774879	-1.44091954312537	-0.918973157365076	-1.80437259578074	-1.46572497196129	ACSM2A	AAG	promoter_candidate	promoter_candidate614	0	0	0	1	1	0	0	0	0.36305376199845	-1.46174489260171	0.927838274832505	-0.108054733963577	0.547912857484675	-0.86798163613901	0.460904152700935	-1.11746132861429	0.634331208052723	-0.656691772746005	0.366460466340626	-1.44827052569793	1.59266683924989	0.671444509405201	0.28843503889589	-1.79368166203263	0.180862592308373	-2.46703404774572	0.556985170039859	-0.844289179161868	0.355262052237791	-1.49304450127082	1.22872441273036	0.297161373830245	1.23731013788822	0.307207164269675	1.33570938657418	0.417606151408266	1.26022530950286	0.333681689156464	1.27568147310892	0.351268145299767	0.374966590459087	-1.41516603774879	0.368332462213993	-1.44091954312537	0.528885322103347	-0.918973157365076	0.286305522617937	-1.80437259578074	0.362053556563521	-1.46572497196129
ACSM2A:::CCT	-1.3241940992279	-1.07254790475048	-1.75097260176279	-1.72860750868994	-1.79975584859344	-1.51075488090222	-1.41549630111322	-1.98649328508441	-2.33053907101725	-1.74528806907834	-1.54077134944355	1.06217786310491	0.912407225769974	0.978171850738371	0.934401901978643	0.95597825079609	-1.24458342597034	-2.49349587856129	-1.96131707762666	-0.324576804688366	-1.35701061486759	ACSM2A	CCT	promoter_candidate	promoter_candidate614	0	0	0	1	1	0	0	0	0.399372223337554	-1.3241940992279	0.475478527286877	-1.07254790475048	0.297101418466925	-1.75097260176279	0.301743059244828	-1.72860750868994	0.287223192238508	-1.79975584859344	0.350927550303081	-1.51075488090222	0.374880762511565	-1.41549630111322	0.252351525823328	-1.98649328508441	0.198809820664215	-2.33053907101725	0.298274372094116	-1.74528806907834	0.343701642330383	-1.54077134944355	2.08808126872131	1.06217786310491	1.88218341906257	0.912407225769974	1.96996753012183	0.978171850738371	1.91109818704263	0.934401901978643	1.93989457577757	0.95597825079609	0.422029740342971	-1.24458342597034	0.177575459233633	-2.49349587856129	0.256793915099879	-1.96131707762666	0.798532590869397	-0.324576804688366	0.390390373931326	-1.35701061486759
ACSM2B:::AAG	-1.21535849165875	-1.88936381092073	-1.05849252644922	-1.26832080723566	-1.2641843217114	-1.64841488867493	-1.70668704539599	-0.612034089132858	-1.82992768423757	-1.78793159053046	-1.90720689654591	0.215726757031534	0.237705920757885	0.230569116336901	0.245116595284419	0.199170825801595	-0.952388811775633	-1.35484744220862	-0.846237694781553	-0.864448767477444	-1.47965130328322	ACSM2B	AAG	promoter_candidate	promoter_candidate626	0	0	0	1	1	0	0	0	0.430666051436022	-1.21535849165875	0.269926062901215	-1.88936381092073	0.480133489628032	-1.05849252644922	0.415142687900071	-1.26832080723566	0.416334690258438	-1.2641843217114	0.318990444089564	-1.64841488867493	0.306362783086856	-1.70668704539599	0.654273575854333	-0.612034089132858	0.281278720045997	-1.82992768423757	0.289586932807327	-1.78793159053046	0.266608208247747	-1.90720689654591	1.1612887657986	0.215726757031534	1.17911621648044	0.237705920757885	1.17329770205393	0.230569116336901	1.18518855127524	0.245116595284419	1.14803834206868	0.199170825801595	0.516776076245893	-0.952388811775633	0.390976163153957	-1.35484744220862	0.556233409134597	-0.846237694781553	0.549256229520025	-0.864448767477444	0.358575468557161	-1.47965130328322
ACSM2B:::CCT	-1.96726437501455	-1.5098635504073	-1.59258993425539	-1.34425596590567	-1.54450411289232	-1.67606856065235	0.143350537929792	-2.66479187380497	-1.79245427823134	-2.02797511432418	-2.24318160930819	0.928974220963784	0.870541879166499	0.86983101997791	0.799831622994889	0.866338800884192	-1.02979233683371	-1.92696653038046	-1.97791267175686	-1.21848686731158	-1.92882697946972	ACSM2B	CCT	promoter_candidate	promoter_candidate626	0	0	0	1	1	0	0	0	0.255737499039152	-1.96726437501455	0.351144428481311	-1.5098635504073	0.331575672396468	-1.59258993425539	0.393857057900298	-1.34425596590567	0.342813513800233	-1.54450411289232	0.312934242854119	-1.67606856065235	1.10446717178754	0.143350537929792	0.157694923861602	-2.66479187380497	0.288680531616084	-1.79245427823134	0.245198980504789	-2.02797511432418	0.211220005637022	-2.24318160930819	1.90392179614793	0.928974220963784	1.82834950326625	0.870541879166499	1.82744884244763	0.86983101997791	1.74089793445655	0.799831622994889	1.82303062947573	0.866338800884192	0.489780643303085	-1.02979233683371	0.262981545737017	-1.92696653038046	0.253856891046402	-1.97791267175686	0.429733196283928	-1.21848686731158	0.262642632501557	-1.92882697946972
ACSM5:::AAG	-0.846366802840297	-0.547680889497587	-0.271309168208052	-0.50036921751661	-0.746403201076652	-0.470611742290605	-0.960946102960392	-0.789752933841461	-1.23541965483565	-1.3564742618426	-1.41829399766672	-0.591979637838643	-0.560172031739884	-0.52743179931564	-0.572449694655468	-0.483443102054845	-0.981282581430932	-1.01669868158775	-1.00511363022752	-0.935932521914844	-1.04273551917543	ACSM5	AAG	promoter_candidate	promoter_candidate738	0	0	0	1	0	0	0	0	0.556183633540751	-0.846366802840297	0.684118955861847	-0.547680889497587	0.828567324252579	-0.271309168208052	0.70692584010226	-0.50036921751661	0.59608781963704	-0.746403201076652	0.72165852985341	-0.470611742290605	0.513719911177932	-0.960946102960392	0.578443143716795	-0.789752933841461	0.424718938264631	-1.23541965483565	0.390535536962289	-1.3564742618426	0.374154492359212	-1.41829399766672	0.663431933894055	-0.591979637838643	0.678221285547132	-0.560172031739884	0.693788677146789	-0.52743179931564	0.672473958374347	-0.572449694655468	0.715268542310854	-0.483443102054845	0.506529226218332	-0.981282581430932	0.494246042214991	-1.01669868158775	0.498230887972219	-1.00511363022752	0.522704497593396	-0.935932521914844	0.485406213404154	-1.04273551917543
ACSM5:::CCT	-1.28606295225534	-1.09608208553988	-0.966509148946046	-0.986770173686585	-0.962489784198403	-1.21997440234094	-1.23637974050617	-1.50968657575147	-1.68140543185628	-1.86907719951195	-1.3809187927282	-0.639713249924766	-0.5934725402218	-0.68430001651479	-0.694152501831587	-0.653626828918291	-1.67843807507929	-1.1402551525815	-1.10456648150688	-1.58416420493872	-1.66484535943513	ACSM5	CCT	promoter_candidate	promoter_candidate738	0	0	0	1	0	0	0	0	0.410068561793158	-1.28606295225534	0.46778513241917	-1.09608208553988	0.511742816545759	-0.966509148946046	0.504606196033387	-0.986770173686585	0.513170525720588	-0.962489784198403	0.429290335026196	-1.21997440234094	0.424436390044266	-1.23637974050617	0.351187505829148	-1.50968657575147	0.311778763367066	-1.68140543185628	0.273748468855062	-1.86907719951195	0.383974180183014	-1.3809187927282	0.641840508327562	-0.639713249924766	0.662745768897225	-0.5934725402218	0.622307691863853	-0.68430001651479	0.618072292924814	-0.694152501831587	0.635680250021128	-0.653626828918291	0.312420694539674	-1.67843807507929	0.4536793336106	-1.1402551525815	0.465042191827754	-1.10456648150688	0.333517829863237	-1.58416420493872	0.315378155361629	-1.66484535943513
ACTA1:::AAG	2.57125550519975	2.56997846590773	2.45501473602756	2.98447102546366	2.54981100249963	2.28103924279652	4.05683178354665	4.00174711846267	4.3004236668851	4.41023452202112	4.12992314153432	0.093815844598057	0.0475577404798771	0.206511159243033	0.189742811608725	0.151718397901501	3.59012156678993	3.49346322276458	3.39649918297259	3.26990089467881	3.5580669394506	ACTA1	AAG	promoter_candidate	promoter_candidate12	0	0	1	0	1	1	1	1	5.94326415762404	2.57125550519975	5.93800564942864	2.56997846590773	5.4831872262009	2.45501473602756	7.9143508654688	2.98447102546366	5.85557563506438	2.54981100249963	4.8602793704453	2.28103924279652	16.642863613949	4.05683178354665	16.0193879008878	4.00174711846267	19.7040961379506	4.3004236668851	21.2624291284868	4.41023452202112	17.5077664825694	4.12992314153432	1.06718910607349	0.093815844598057	1.03351386303591	0.0475577404798771	1.15389436732589	0.206511159243033	1.14056037072145	0.189742811608725	1.11089187061791	0.151718397901501	12.0429887230551	3.59012156678993	11.2625626232181	3.49346322276458	10.5304791923023	3.39649918297259	9.64579998464612	3.26990089467881	11.7783613875786	3.5580669394506
